dataset_period,marketplace,category_group,brand_group,product_group,product_count,sales_index,units_index,margin_index,estimated_profitability_index,margin_band_public,profitability_band_public,margin_risk_score,margin_risk_band,revenue_quality_score,revenue_quality_band
12m,Meesho,Body Care,Snake Brand,General Product,1,1.9,4.2,2.2,56.3,Unmapped,Unmapped,6.0,Low Risk,89.0,Strong
12m,Meesho,Electronics & Travel Accessories,SHIVAMAX,General Product,1,1.7,2.9,2.0,55.6,Unmapped,Unmapped,6.0,Low Risk,86.2,Strong
12m,Meesho,Oral Care,Oral-B,Dental Floss,4,10.4,14.4,11.8,58.6,Unmapped,Unmapped,5.9,Low Risk,86.0,Strong
12m,Meesho,Oral Care,Watsons,Dental Floss,3,5.0,11.0,5.8,58.0,Unmapped,Unmapped,5.9,Low Risk,88.2,Strong
12m,Meesho,Hair Care,Fino,Hair Conditioner & Treatment,1,4.1,4.1,4.6,55.3,Unmapped,Unmapped,5.9,Low Risk,83.6,Strong
12m,Meesho,Skin Care,Vaseline,Sunscreen,1,3.3,3.3,3.6,54.2,Unmapped,Unmapped,5.9,Low Risk,84.1,Strong
12m,Meesho,Lip,Sasi,Lip Care,1,1.7,3.5,2.0,56.2,Unmapped,Unmapped,5.9,Low Risk,88.1,Strong
12m,Meesho,Health & Wellness,Poy Sian,Herbal Inhaler,1,1.4,3.4,1.6,56.0,Unmapped,Unmapped,5.9,Low Risk,89.2,Strong
12m,Meesho,Hair Care,Sunsilk,Hair Conditioner & Treatment,8,21.2,30.1,24.7,64.6,Unmapped,Unmapped,5.8,Low Risk,87.4,Strong
12m,Meesho,Hair Care,Dove,General Product,6,10.9,22.8,12.8,60.5,Unmapped,Unmapped,5.8,Low Risk,88.1,Strong
12m,Meesho,Health & Wellness,Counterpain,Pain Relief,3,8.8,11.2,10.1,58.0,Unmapped,Unmapped,5.8,Low Risk,86.1,Strong
12m,Meesho,Body Care,Rexona,Deodorant & Body Spray,3,8.1,10.2,9.3,58.0,Unmapped,Unmapped,5.8,Low Risk,86.1,Strong
12m,Meesho,Oral Care,Sensodyne,Toothpaste,2,7.1,7.2,8.0,56.5,Unmapped,Unmapped,5.8,Low Risk,84.3,Strong
12m,Meesho,Oral Care,Ora2,Toothpaste,2,6.4,6.5,7.3,56.5,Unmapped,Unmapped,5.8,Low Risk,85.1,Strong
12m,Meesho,Body Care,Vaseline,General Product,2,6.2,7.4,7.1,56.6,Unmapped,Unmapped,5.8,Low Risk,85.3,Strong
12m,Meesho,Hair Care,Pantene,General Product,2,5.3,7.2,6.2,57.3,Unmapped,Unmapped,5.8,Low Risk,86.9,Strong
12m,Meesho,Body Care,Tros,Deodorant & Body Spray,2,3.5,7.1,4.0,56.6,Unmapped,Unmapped,5.8,Low Risk,87.6,Strong
12m,Meesho,Hair Care,Dove,Hair Oil & Serum,2,3.3,6.6,3.9,57.2,Unmapped,Unmapped,5.8,Low Risk,88.6,Strong
12m,Meesho,Skin Care,Pair,General Product,1,3.2,3.4,3.6,54.0,Unmapped,Unmapped,5.8,Low Risk,84.8,Strong
12m,Meesho,Skin Care,AR,General Product,1,2.1,4.3,2.5,56.6,Unmapped,Unmapped,5.8,Low Risk,89.6,Strong
12m,Meesho,Skin Care,Sasi,General Product,1,1.4,3.1,1.6,55.3,Unmapped,Unmapped,5.8,Low Risk,88.7,Strong
12m,JioMart,Health & Wellness,Wangprom,Herbal Inhaler,1,1.1,2.6,1.2,54.0,Unmapped,Unmapped,5.8,Low Risk,84.3,Strong
12m,Meesho,Oral Care,Colgate,Toothpaste,9,25.2,33.6,29.5,66.5,Unmapped,Unmapped,5.7,Low Risk,87.5,Strong
12m,Meesho,Body Care,Axe,Deodorant & Body Spray,5,16.0,18.5,18.5,61.7,Unmapped,Unmapped,5.7,Low Risk,86.9,Strong
12m,Meesho,Hair Care,Dove,Hair Conditioner & Treatment,3,10.3,10.5,12.0,59.2,Unmapped,Unmapped,5.7,Low Risk,86.5,Strong
12m,Meesho,Body Care,Vaseline,Body Wash,3,9.8,10.0,11.3,58.6,Unmapped,Unmapped,5.7,Low Risk,86.4,Strong
12m,Meesho,Skin Care,NEXCARE,General Product,3,8.9,12.0,10.4,59.0,Unmapped,Unmapped,5.7,Low Risk,87.3,Strong
12m,Meesho,Hair Care,SHIVAMAX,Hair Conditioner & Treatment,2,7.3,7.5,8.5,57.1,Unmapped,Unmapped,5.7,Low Risk,85.4,Strong
12m,Meesho,Body Care,Dove,Deodorant & Body Spray,2,5.2,6.9,6.1,57.4,Unmapped,Unmapped,5.7,Low Risk,88.0,Strong
12m,Meesho,Home & Kitchen,Ambi Pur,Air Freshener,1,4.1,4.1,4.7,56.0,Unmapped,Unmapped,5.7,Low Risk,85.9,Strong
12m,Meesho,Skin Care,L'Oreal Paris,Face Cleanser,1,2.9,3.7,3.3,56.3,Unmapped,Unmapped,5.7,Low Risk,87.2,Strong
12m,Meesho,Health & Wellness,Wangprom,General Product,1,2.1,3.4,2.5,56.1,Unmapped,Unmapped,5.7,Low Risk,88.0,Strong
12m,Meesho,Skin Care,Senka,Face Cleanser,5,19.3,19.5,22.6,63.5,Unmapped,Unmapped,5.6,Low Risk,87.1,Strong
12m,Meesho,Oral Care,Oral-B,Toothpaste,4,14.1,15.2,16.4,60.9,Unmapped,Unmapped,5.6,Low Risk,87.0,Strong
12m,Meesho,Hair Care,Pantene,Shampoo,2,7.1,7.4,8.2,57.6,Unmapped,Unmapped,5.6,Low Risk,86.3,Strong
