dataset_period,marketplace,category_group,subcategory_group,product_count,sales_index,units_index,avg_fee_pct_of_gross,avg_refund_pct_of_gross,avg_promotion_pct_of_gross,avg_net_to_gross_pct,margin_risk_score,revenue_quality_score
12m,JioMart,Body Care,General / Uncategorized,8,5.0,7.4,11.6,3.2,4.1,96.5,5.1,89.7
12m,Website,Body Care,General / Uncategorized,8,5.0,7.3,5.4,3.0,4.0,105.7,3.1,93.7
12m,Flipkart,Oral Care,Dental Floss Picks,6,4.9,10.8,16.6,5.2,4.1,92.9,6.8,85.4
12m,Amazon,Home & Kitchen,Adhesive Hooks,3,4.8,12.2,40.0,4.3,4.2,70.9,15.8,56.8
12m,Amazon,Home & Kitchen,Air Freshener,1,4.8,4.2,23.8,3.6,4.3,82.5,9.0,74.7
12m,JioMart,Oral Care,Dental Floss,7,4.5,6.7,11.6,2.7,4.0,97.2,5.1,90.3
12m,Amazon,Body Care,Body Lotion,1,4.5,4.0,24.0,4.6,3.6,82.5,9.1,74.6
12m,Website,Oral Care,Dental Floss,7,4.4,6.2,5.8,5.3,4.2,102.5,3.3,92.3
12m,JioMart,Health & Wellness,Pain Relief Balm,5,4.3,4.7,11.5,4.2,3.7,95.4,5.0,89.1
12m,Meesho,Hair Care,Hair Oil / Serum,4,4.1,5.1,13.4,4.0,3.9,93.7,5.7,88.0
12m,Website,Health & Wellness,Pain Relief Balm,5,4.1,4.6,5.4,4.2,4.2,102.7,3.0,93.5
12m,Amazon,Oral Care,Interdental Brush,1,4.0,4.0,25.0,5.5,3.7,81.3,9.4,73.6
12m,Amazon,Skin Care,Body Scrub,1,3.8,4.2,26.0,2.8,4.0,82.3,9.8,74.0
12m,Meesho,Body Care,Body Wash,3,3.8,3.6,13.4,5.5,4.1,92.2,5.7,86.4
12m,Website,Health & Wellness,Herbal Inhaler,10,3.7,9.0,6.9,6.8,4.2,104.1,3.7,90.9
12m,JioMart,Health & Wellness,Herbal Inhaler,10,3.6,8.9,12.8,5.0,4.0,96.9,5.5,88.7
12m,Meesho,Oral Care,Dental Floss Picks,6,3.6,8.5,14.4,4.0,4.3,95.9,6.1,87.2
12m,Flipkart,Oral Care,Mouthwash,3,3.5,5.0,15.8,5.8,3.8,90.7,6.6,83.6
12m,Website,Body Care,Body Wash,3,3.5,3.2,5.3,5.6,4.2,101.2,3.2,91.4
12m,Flipkart,Skin Care,Sunscreen,2,3.3,3.4,15.4,5.4,4.6,89.8,6.5,83.5
12m,Amazon,Health & Wellness,General / Uncategorized,1,3.2,4.3,28.4,4.6,4.3,79.0,10.6,70.3
12m,JioMart,Hair Care,Hair Oil / Serum,4,3.0,3.6,11.5,6.2,4.6,93.3,5.3,87.0
12m,Amazon,Electronics & Travel Accessories,General / Uncategorized,1,2.8,4.1,30.0,4.9,4.0,77.4,11.1,68.7
12m,Website,Hair Care,Hair Oil / Serum,4,2.8,3.6,5.5,4.5,4.1,103.2,3.1,93.1
12m,JioMart,Body Care,Body Wash,3,2.8,2.6,11.5,4.9,4.0,95.0,5.0,89.3
12m,Meesho,Oral Care,Mouthwash,3,2.7,4.1,13.9,6.2,4.0,92.0,6.0,85.9
12m,JioMart,Oral Care,Dental Floss Picks,6,2.4,5.4,12.6,4.4,4.3,96.7,5.4,89.1
12m,Website,Oral Care,Dental Floss Picks,6,2.4,5.4,6.4,5.4,4.3,105.4,3.5,92.2
12m,Amazon,Lip,Lip Care,1,2.4,4.2,32.3,3.6,4.1,77.5,11.9,67.7
12m,Amazon,Lip,Sunscreen,1,2.3,4.1,32.0,3.2,4.3,76.9,12.0,66.5
12m,Meesho,Skin Care,Sunscreen,2,2.3,2.6,13.2,4.5,4.3,92.9,5.6,87.4
12m,Flipkart,Home & Kitchen,Adhesive Hooks,3,2.1,5.4,17.2,5.2,4.1,92.5,7.0,85.2
12m,Website,Oral Care,Mouthwash,3,2.1,2.9,5.6,5.0,4.1,103.3,3.3,92.2
12m,Amazon,Home & Kitchen,General / Uncategorized,1,2.0,4.2,35.7,6.1,4.2,72.7,13.2,61.6
12m,Amazon,Skin Care,Lip Care,1,2.0,3.6,32.5,4.4,3.8,76.5,12.0,67.1
12m,JioMart,Oral Care,Mouthwash,3,1.9,2.7,11.5,3.3,4.4,95.7,5.1,89.4
12m,Flipkart,Body Care,Body Lotion,1,1.9,1.7,15.1,2.5,4.4,91.4,6.2,85.7
12m,Flipkart,Home & Kitchen,Air Freshener,1,1.9,1.7,15.0,5.1,3.5,90.9,6.2,84.2
12m,Flipkart,Oral Care,Interdental Brush,1,1.8,1.8,15.1,1.8,3.9,93.9,6.0,88.3
12m,Flipkart,Skin Care,Body Scrub,1,1.6,1.8,15.7,8.3,3.9,87.9,6.5,82.1
12m,JioMart,Skin Care,Sunscreen,2,1.6,1.7,11.4,4.7,4.3,93.5,5.1,87.2
12m,Website,Skin Care,Sunscreen,2,1.6,1.6,5.0,3.4,4.9,103.0,3.0,93.4
12m,Meesho,Home & Kitchen,Air Freshener,1,1.6,1.5,13.2,6.2,4.0,92.5,5.7,85.9
12m,Amazon,Electronics & Travel Accessories,Travel Adapter,1,1.4,4.2,43.5,2.8,4.0,69.5,16.3,56.4
12m,Meesho,Home & Kitchen,Adhesive Hooks,3,1.4,3.9,14.7,4.6,3.8,96.3,6.2,87.1
12m,Flipkart,Electronics & Travel Accessories,General / Uncategorized,1,1.4,2.1,15.8,8.3,4.3,87.4,6.6,81.9
12m,Meesho,Body Care,Body Lotion,1,1.3,1.3,13.3,3.6,3.9,94.0,5.5,88.5
12m,Website,Body Care,Body Lotion,1,1.3,1.2,4.7,2.0,4.0,104.7,2.7,94.5
12m,Meesho,Oral Care,Interdental Brush,1,1.2,1.3,13.2,1.8,3.8,95.3,5.4,89.4
12m,Website,Home & Kitchen,Adhesive Hooks,3,1.1,3.0,7.4,6.1,4.2,105.8,4.0,90.6
12m,Meesho,Skin Care,Body Scrub,1,1.1,1.4,13.2,3.9,4.0,94.7,5.6,88.2
12m,JioMart,Home & Kitchen,Adhesive Hooks,3,1.0,2.7,12.8,6.6,3.9,96.5,5.6,88.1
12m,Flipkart,Skin Care,Lip Care,1,1.0,1.8,15.9,3.0,3.8,93.5,6.4,87.4
12m,Flipkart,Lip,Lip Care,1,1.0,1.7,16.4,5.7,3.5,90.2,6.7,83.5
12m,Flipkart,Health & Wellness,General / Uncategorized,1,1.0,1.4,15.3,3.6,3.9,92.6,6.3,86.7
12m,Website,Skin Care,Body Scrub,1,1.0,1.1,5.5,3.0,3.9,103.9,2.9,94.6
12m,Website,Oral Care,Interdental Brush,1,1.0,1.0,5.2,3.6,4.6,102.8,2.9,94.6
12m,JioMart,Home & Kitchen,Air Freshener,1,1.0,0.9,11.0,3.2,4.4,96.0,4.9,89.0
12m,Flipkart,Home & Kitchen,General / Uncategorized,1,0.9,1.9,16.5,6.6,4.1,89.8,6.9,81.7
12m,JioMart,Skin Care,Body Scrub,1,0.9,1.0,11.5,2.6,4.0,96.5,4.9,90.7
12m,JioMart,Oral Care,Interdental Brush,1,0.9,0.9,11.0,2.3,3.7,96.0,4.8,89.6
12m,JioMart,Body Care,Body Lotion,1,0.9,0.8,11.2,5.1,4.2,93.5,4.9,88.5
12m,Meesho,Lip,Sunscreen,1,0.8,1.6,14.4,4.7,4.1,93.9,6.1,86.9
12m,Flipkart,Lip,Sunscreen,1,0.8,1.5,15.6,2.1,3.5,94.8,6.2,87.8
12m,Meesho,Health & Wellness,General / Uncategorized,1,0.8,1.2,13.7,3.7,4.2,94.5,5.7,88.0
12m,Website,Home & Kitchen,Air Freshener,1,0.8,0.7,5.0,1.3,3.2,105.7,2.4,97.9
12m,Meesho,Skin Care,Lip Care,1,0.7,1.4,13.6,1.1,3.3,99.8,5.5,93.0
12m,Meesho,Lip,Lip Care,1,0.7,1.3,14.2,4.3,3.4,95.4,5.9,88.1
12m,Meesho,Electronics & Travel Accessories,General / Uncategorized,1,0.7,1.1,14.1,3.9,4.3,93.9,6.0,86.2
12m,JioMart,Health & Wellness,General / Uncategorized,1,0.7,1.0,11.5,3.2,4.0,96.4,4.9,89.8
12m,Website,Health & Wellness,General / Uncategorized,1,0.7,1.0,6.0,5.9,3.8,101.6,3.3,91.1
12m,Flipkart,Electronics & Travel Accessories,Travel Adapter,1,0.6,1.8,17.6,4.1,4.2,94.2,7.1,85.8
12m,Meesho,Home & Kitchen,General / Uncategorized,1,0.6,1.3,14.3,4.4,5.0,94.9,6.1,87.1
12m,Website,Skin Care,Lip Care,1,0.6,1.0,6.2,5.9,3.9,104.8,3.5,91.6
12m,JioMart,Electronics & Travel Accessories,General / Uncategorized,1,0.6,0.9,11.8,4.7,3.3,94.9,4.9,89.2
12m,Website,Electronics & Travel Accessories,General / Uncategorized,1,0.6,0.9,5.8,5.2,4.0,104.0,3.5,90.7
12m,Website,Lip,Sunscreen,1,0.5,1.0,6.4,4.9,4.6,104.1,3.5,92.2
12m,JioMart,Lip,Lip Care,1,0.5,0.9,12.5,5.1,3.9,95.1,5.3,89.2
12m,JioMart,Lip,Sunscreen,1,0.5,0.9,12.2,1.0,3.9,100.0,5.0,92.5
12m,JioMart,Skin Care,Lip Care,1,0.5,0.9,11.8,2.6,3.9,100.6,4.9,93.1
12m,Meesho,Electronics & Travel Accessories,Travel Adapter,1,0.4,1.3,15.1,3.9,4.0,94.9,6.3,86.1
12m,JioMart,Home & Kitchen,General / Uncategorized,1,0.4,0.9,12.7,4.3,4.5,97.0,5.6,88.4
12m,Website,Home & Kitchen,General / Uncategorized,1,0.4,0.9,6.6,3.3,3.7,109.6,3.3,94.0
12m,JioMart,Electronics & Travel Accessories,Travel Adapter,1,0.3,0.9,12.7,0.5,4.1,100.5,5.2,92.0
12m,Website,Electronics & Travel Accessories,Travel Adapter,1,0.3,0.8,6.5,1.1,4.9,112.4,3.2,97.3
12m,Website,Lip,Lip Care,1,0.3,0.6,5.5,2.9,3.7,106.7,2.8,95.2
