public_product_id,marketplace,brand_group,category_group,metric,metric_label,previous_value,current_value,abs_variance,pct_variance,contribution_share_pct,movement
P0156,JioMart,Colgate,Oral Care,sales_index,Sales Index,4.2,9.9,5.7,135.71,0.1,Improvement
P0156,Meesho,Colgate,Oral Care,sales_index,Sales Index,12.9,9.9,-3.0,-23.26,0.1,Deterioration
P0156,Website,Colgate,Oral Care,sales_index,Sales Index,4.3,12.2,7.9,183.72,0.2,Improvement
P0168,Amazon,Colgate,Oral Care,sales_index,Sales Index,72.7,63.9,-8.8,-12.1,0.2,Deterioration
P0168,Flipkart,Colgate,Oral Care,sales_index,Sales Index,21.5,39.0,17.5,81.4,0.4,Improvement
P0168,JioMart,Colgate,Oral Care,sales_index,Sales Index,26.3,9.7,-16.6,-63.12,0.4,Deterioration
P0168,Meesho,Colgate,Oral Care,sales_index,Sales Index,11.3,10.9,-0.4,-3.54,0.0,Deterioration
P0168,Website,Colgate,Oral Care,sales_index,Sales Index,9.4,12.8,3.4,36.17,0.1,Improvement
P0170,Amazon,Colgate,Oral Care,sales_index,Sales Index,32.8,31.3,-1.5,-4.57,0.0,Deterioration
P0170,Flipkart,Colgate,Oral Care,sales_index,Sales Index,8.3,6.6,-1.7,-20.48,0.0,Deterioration
P0170,JioMart,Colgate,Oral Care,sales_index,Sales Index,9.7,6.6,-3.1,-31.96,0.1,Deterioration
P0170,Meesho,Colgate,Oral Care,sales_index,Sales Index,5.4,12.5,7.1,131.48,0.2,Improvement
P0170,Website,Colgate,Oral Care,sales_index,Sales Index,8.1,8.3,0.2,2.47,0.0,Improvement
P0172,Amazon,Colgate,Oral Care,sales_index,Sales Index,60.2,64.6,4.4,7.31,0.1,Improvement
P0172,Flipkart,Colgate,Oral Care,sales_index,Sales Index,24.9,21.2,-3.7,-14.86,0.1,Deterioration
P0172,JioMart,Colgate,Oral Care,sales_index,Sales Index,11.5,14.9,3.4,29.57,0.1,Improvement
P0172,Meesho,Colgate,Oral Care,sales_index,Sales Index,12.5,18.7,6.2,49.6,0.1,Improvement
P0172,Website,Colgate,Oral Care,sales_index,Sales Index,6.5,6.9,0.4,6.15,0.0,Improvement
P0175,Amazon,Colgate,Oral Care,sales_index,Sales Index,48.3,48.9,0.6,1.24,0.0,Improvement
P0175,Flipkart,Colgate,Oral Care,sales_index,Sales Index,18.0,24.8,6.8,37.78,0.2,Improvement
P0175,JioMart,Colgate,Oral Care,sales_index,Sales Index,15.4,7.8,-7.6,-49.35,0.2,Deterioration
P0175,Meesho,Colgate,Oral Care,sales_index,Sales Index,14.7,15.0,0.3,2.04,0.0,Improvement
P0175,Website,Colgate,Oral Care,sales_index,Sales Index,7.9,8.2,0.3,3.8,0.0,Improvement
P0178,Amazon,Colgate,Oral Care,sales_index,Sales Index,30.5,37.3,6.8,22.3,0.2,Improvement
P0178,Flipkart,Colgate,Oral Care,sales_index,Sales Index,24.5,14.2,-10.3,-42.04,0.2,Deterioration
P0178,JioMart,Colgate,Oral Care,sales_index,Sales Index,6.5,6.3,-0.2,-3.08,0.0,Deterioration
P0178,Meesho,Colgate,Oral Care,sales_index,Sales Index,22.9,10.5,-12.4,-54.15,0.3,Deterioration
P0178,Website,Colgate,Oral Care,sales_index,Sales Index,9.7,6.6,-3.1,-31.96,0.1,Deterioration
P0212,Amazon,Colgate,Oral Care,sales_index,Sales Index,26.2,31.8,5.6,21.37,0.1,Improvement
P0212,Flipkart,Colgate,Oral Care,sales_index,Sales Index,15.7,14.1,-1.6,-10.19,0.0,Deterioration
P0212,JioMart,Colgate,Oral Care,sales_index,Sales Index,9.5,5.2,-4.3,-45.26,0.1,Deterioration
P0212,Meesho,Colgate,Oral Care,sales_index,Sales Index,8.5,12.4,3.9,45.88,0.1,Improvement
P0212,Website,Colgate,Oral Care,sales_index,Sales Index,8.0,4.6,-3.4,-42.5,0.1,Deterioration
P0218,Amazon,Colgate,Oral Care,sales_index,Sales Index,35.8,47.4,11.6,32.4,0.3,Improvement
P0218,Flipkart,Colgate,Oral Care,sales_index,Sales Index,19.6,15.3,-4.3,-21.94,0.1,Deterioration
P0218,JioMart,Colgate,Oral Care,sales_index,Sales Index,4.1,14.9,10.8,263.41,0.3,Improvement
P0218,Meesho,Colgate,Oral Care,sales_index,Sales Index,20.5,23.9,3.4,16.59,0.1,Improvement
P0218,Website,Colgate,Oral Care,sales_index,Sales Index,8.7,11.0,2.3,26.44,0.1,Improvement
P0225,Amazon,Colgate,Oral Care,sales_index,Sales Index,28.8,38.0,9.2,31.94,0.2,Improvement
P0225,Flipkart,Colgate,Oral Care,sales_index,Sales Index,10.1,17.0,6.9,68.32,0.2,Improvement
P0225,JioMart,Colgate,Oral Care,sales_index,Sales Index,6.1,6.8,0.7,11.48,0.0,Improvement
P0225,Meesho,Colgate,Oral Care,sales_index,Sales Index,5.9,9.0,3.1,52.54,0.1,Improvement
P0225,Website,Colgate,Oral Care,sales_index,Sales Index,10.9,11.6,0.7,6.42,0.0,Improvement
P0230,Amazon,Counterpain,Health & Wellness,sales_index,Sales Index,66.6,65.1,-1.5,-2.25,0.0,Deterioration
P0230,Flipkart,Counterpain,Health & Wellness,sales_index,Sales Index,26.1,32.9,6.8,26.05,0.2,Improvement
P0230,JioMart,Counterpain,Health & Wellness,sales_index,Sales Index,10.0,12.9,2.9,29.0,0.1,Improvement
P0230,Meesho,Counterpain,Health & Wellness,sales_index,Sales Index,18.6,1.5,-17.1,-91.94,0.4,Deterioration
P0230,Website,Counterpain,Health & Wellness,sales_index,Sales Index,14.7,14.7,0.0,0.0,0.0,No Change
P0233,Amazon,Counterpain,Health & Wellness,sales_index,Sales Index,23.3,24.4,1.1,4.72,0.0,Improvement
P0233,Flipkart,Counterpain,Health & Wellness,sales_index,Sales Index,16.9,8.0,-8.9,-52.66,0.2,Deterioration
P0233,JioMart,Counterpain,Health & Wellness,sales_index,Sales Index,2.3,5.6,3.3,143.48,0.1,Improvement
P0233,Meesho,Counterpain,Health & Wellness,sales_index,Sales Index,9.1,6.4,-2.7,-29.67,0.1,Deterioration
P0233,Website,Counterpain,Health & Wellness,sales_index,Sales Index,6.5,7.4,0.9,13.85,0.0,Improvement
P0235,Amazon,Counterpain,Health & Wellness,sales_index,Sales Index,36.0,48.2,12.2,33.89,0.3,Improvement
P0235,Flipkart,Counterpain,Health & Wellness,sales_index,Sales Index,31.8,22.1,-9.7,-30.5,0.2,Deterioration
P0235,JioMart,Counterpain,Health & Wellness,sales_index,Sales Index,13.0,14.5,1.5,11.54,0.0,Improvement
P0235,Meesho,Counterpain,Health & Wellness,sales_index,Sales Index,29.4,15.2,-14.2,-48.3,0.3,Deterioration
P0235,Website,Counterpain,Health & Wellness,sales_index,Sales Index,11.7,11.8,0.1,0.85,0.0,Improvement
P0246,Amazon,Dove,Body Care,sales_index,Sales Index,38.2,42.1,3.9,10.21,0.1,Improvement
P0246,Flipkart,Dove,Body Care,sales_index,Sales Index,18.5,14.9,-3.6,-19.46,0.1,Deterioration
P0246,JioMart,Dove,Body Care,sales_index,Sales Index,12.3,6.0,-6.3,-51.22,0.1,Deterioration
P0246,Meesho,Dove,Body Care,sales_index,Sales Index,10.6,15.5,4.9,46.23,0.1,Improvement
P0246,Website,Dove,Body Care,sales_index,Sales Index,9.7,9.9,0.2,2.06,0.0,Improvement
P0252,Amazon,Dove,Hair Care,sales_index,Sales Index,41.7,61.2,19.5,46.76,0.5,Improvement
P0252,Flipkart,Dove,Hair Care,sales_index,Sales Index,24.9,24.4,-0.5,-2.01,0.0,Deterioration
P0252,JioMart,Dove,Hair Care,sales_index,Sales Index,19.0,16.3,-2.7,-14.21,0.1,Deterioration
P0252,Meesho,Dove,Hair Care,sales_index,Sales Index,15.7,14.4,-1.3,-8.28,0.0,Deterioration
P0252,Website,Dove,Hair Care,sales_index,Sales Index,14.5,9.5,-5.0,-34.48,0.1,Deterioration
P0253,Amazon,Dove,Hair Care,sales_index,Sales Index,26.9,28.4,1.5,5.58,0.0,Improvement
P0253,Flipkart,Dove,Hair Care,sales_index,Sales Index,14.8,9.8,-5.0,-33.78,0.1,Deterioration
P0253,JioMart,Dove,Hair Care,sales_index,Sales Index,4.8,6.6,1.8,37.5,0.0,Improvement
P0253,Meesho,Dove,Hair Care,sales_index,Sales Index,7.8,12.3,4.5,57.69,0.1,Improvement
P0253,Website,Dove,Hair Care,sales_index,Sales Index,0.8,6.4,5.6,700.0,0.1,Improvement
P0257,Amazon,Dove,Hair Care,sales_index,Sales Index,35.1,34.3,-0.8,-2.28,0.0,Deterioration
P0257,Flipkart,Dove,Hair Care,sales_index,Sales Index,9.0,16.9,7.9,87.78,0.2,Improvement
P0257,JioMart,Dove,Hair Care,sales_index,Sales Index,3.7,2.8,-0.9,-24.32,0.0,Deterioration
P0257,Meesho,Dove,Hair Care,sales_index,Sales Index,7.0,13.0,6.0,85.71,0.1,Improvement
P0257,Website,Dove,Hair Care,sales_index,Sales Index,4.3,7.4,3.1,72.09,0.1,Improvement
P0259,Amazon,Dove,Hair Care,sales_index,Sales Index,31.2,25.8,-5.4,-17.31,0.1,Deterioration
P0259,Flipkart,Dove,Hair Care,sales_index,Sales Index,10.2,10.3,0.1,0.98,0.0,Improvement
P0259,JioMart,Dove,Hair Care,sales_index,Sales Index,6.9,7.7,0.8,11.59,0.0,Improvement
P0259,Meesho,Dove,Hair Care,sales_index,Sales Index,8.9,12.7,3.8,42.7,0.1,Improvement
P0259,Website,Dove,Hair Care,sales_index,Sales Index,10.0,7.8,-2.2,-22.0,0.1,Deterioration
P0260,Amazon,Dove,Hair Care,sales_index,Sales Index,53.1,49.2,-3.9,-7.34,0.1,Deterioration
P0260,Flipkart,Dove,Hair Care,sales_index,Sales Index,29.6,30.4,0.8,2.7,0.0,Improvement
P0260,JioMart,Dove,Hair Care,sales_index,Sales Index,8.3,13.0,4.7,56.63,0.1,Improvement
P0260,Meesho,Dove,Hair Care,sales_index,Sales Index,7.7,21.8,14.1,183.12,0.3,Improvement
P0260,Website,Dove,Hair Care,sales_index,Sales Index,5.0,14.0,9.0,180.0,0.2,Improvement
P0261,Amazon,Dove,Hair Care,sales_index,Sales Index,33.0,25.7,-7.3,-22.12,0.2,Deterioration
P0261,Flipkart,Dove,Hair Care,sales_index,Sales Index,12.5,8.8,-3.7,-29.6,0.1,Deterioration
P0261,JioMart,Dove,Hair Care,sales_index,Sales Index,8.9,5.6,-3.3,-37.08,0.1,Deterioration
P0261,Meesho,Dove,Hair Care,sales_index,Sales Index,7.1,9.4,2.3,32.39,0.1,Improvement
P0261,Website,Dove,Hair Care,sales_index,Sales Index,4.9,5.8,0.9,18.37,0.0,Improvement
P0262,Amazon,Dove,Hair Care,sales_index,Sales Index,32.8,29.5,-3.3,-10.06,0.1,Deterioration
P0262,Flipkart,Dove,Hair Care,sales_index,Sales Index,20.4,12.3,-8.1,-39.71,0.2,Deterioration
P0262,JioMart,Dove,Hair Care,sales_index,Sales Index,7.2,4.9,-2.3,-31.94,0.1,Deterioration
P0262,Meesho,Dove,Hair Care,sales_index,Sales Index,10.3,4.0,-6.3,-61.17,0.1,Deterioration
P0262,Website,Dove,Hair Care,sales_index,Sales Index,5.0,7.4,2.4,48.0,0.1,Improvement
P0263,Amazon,Dove,Hair Care,sales_index,Sales Index,57.3,52.5,-4.8,-8.38,0.1,Deterioration
P0263,Flipkart,Dove,Hair Care,sales_index,Sales Index,24.4,40.5,16.1,65.98,0.4,Improvement
P0263,JioMart,Dove,Hair Care,sales_index,Sales Index,8.1,14.4,6.3,77.78,0.1,Improvement
P0263,Meesho,Dove,Hair Care,sales_index,Sales Index,11.1,9.3,-1.8,-16.22,0.0,Deterioration
P0263,Website,Dove,Hair Care,sales_index,Sales Index,14.1,18.0,3.9,27.66,0.1,Improvement
P0264,Amazon,Dove,Body Care,sales_index,Sales Index,45.4,61.0,15.6,34.36,0.4,Improvement
P0264,Flipkart,Dove,Body Care,sales_index,Sales Index,20.2,21.2,1.0,4.95,0.0,Improvement
P0264,JioMart,Dove,Body Care,sales_index,Sales Index,8.8,13.8,5.0,56.82,0.1,Improvement
P0264,Meesho,Dove,Body Care,sales_index,Sales Index,18.1,19.6,1.5,8.29,0.0,Improvement
P0264,Website,Dove,Body Care,sales_index,Sales Index,8.9,11.8,2.9,32.58,0.1,Improvement
P0270,Amazon,Dove,Hair Care,sales_index,Sales Index,33.7,20.2,-13.5,-40.06,0.3,Deterioration
P0270,Flipkart,Dove,Hair Care,sales_index,Sales Index,14.8,8.3,-6.5,-43.92,0.2,Deterioration
P0270,JioMart,Dove,Hair Care,sales_index,Sales Index,10.5,2.4,-8.1,-77.14,0.2,Deterioration
P0270,Meesho,Dove,Hair Care,sales_index,Sales Index,3.2,7.8,4.6,143.75,0.1,Improvement
P0270,Website,Dove,Hair Care,sales_index,Sales Index,5.6,9.0,3.4,60.71,0.1,Improvement
P0271,Amazon,Dove,Hair Care,sales_index,Sales Index,24.2,25.0,0.8,3.31,0.0,Improvement
P0271,Flipkart,Dove,Hair Care,sales_index,Sales Index,12.2,14.7,2.5,20.49,0.1,Improvement
P0271,JioMart,Dove,Hair Care,sales_index,Sales Index,7.8,8.8,1.0,12.82,0.0,Improvement
P0271,Meesho,Dove,Hair Care,sales_index,Sales Index,10.3,4.0,-6.3,-61.17,0.1,Deterioration
P0271,Website,Dove,Hair Care,sales_index,Sales Index,4.0,4.0,0.0,0.0,0.0,No Change
P0278,Amazon,Dove,Hair Care,sales_index,Sales Index,32.8,21.0,-11.8,-35.98,0.3,Deterioration
P0278,Flipkart,Dove,Hair Care,sales_index,Sales Index,14.8,8.9,-5.9,-39.86,0.1,Deterioration
P0278,JioMart,Dove,Hair Care,sales_index,Sales Index,8.7,5.5,-3.2,-36.78,0.1,Deterioration
P0278,Meesho,Dove,Hair Care,sales_index,Sales Index,9.4,10.2,0.8,8.51,0.0,Improvement
P0278,Website,Dove,Hair Care,sales_index,Sales Index,5.6,3.3,-2.3,-41.07,0.1,Deterioration
P0279,Amazon,Dove,Body Care,sales_index,Sales Index,60.4,62.6,2.2,3.64,0.1,Improvement
P0279,Flipkart,Dove,Body Care,sales_index,Sales Index,24.2,28.1,3.9,16.12,0.1,Improvement
P0279,JioMart,Dove,Body Care,sales_index,Sales Index,11.6,24.2,12.6,108.62,0.3,Improvement
P0279,Meesho,Dove,Body Care,sales_index,Sales Index,18.2,22.1,3.9,21.43,0.1,Improvement
P0279,Website,Dove,Body Care,sales_index,Sales Index,20.7,9.5,-11.2,-54.11,0.3,Deterioration
P0308,Amazon,Dove,Hair Care,sales_index,Sales Index,23.6,31.1,7.5,31.78,0.2,Improvement
P0308,Flipkart,Dove,Hair Care,sales_index,Sales Index,9.0,13.1,4.1,45.56,0.1,Improvement
P0308,JioMart,Dove,Hair Care,sales_index,Sales Index,7.7,7.9,0.2,2.6,0.0,Improvement
P0308,Meesho,Dove,Hair Care,sales_index,Sales Index,8.8,6.9,-1.9,-21.59,0.0,Deterioration
P0308,Website,Dove,Hair Care,sales_index,Sales Index,9.8,4.9,-4.9,-50.0,0.1,Deterioration
P0342,Amazon,Fino,Hair Care,sales_index,Sales Index,47.3,55.5,8.2,17.34,0.2,Improvement
P0342,Flipkart,Fino,Hair Care,sales_index,Sales Index,24.6,34.3,9.7,39.43,0.2,Improvement
P0342,JioMart,Fino,Hair Care,sales_index,Sales Index,6.7,14.5,7.8,116.42,0.2,Improvement
P0342,Meesho,Fino,Hair Care,sales_index,Sales Index,15.8,9.1,-6.7,-42.41,0.2,Deterioration
P0342,Website,Fino,Hair Care,sales_index,Sales Index,14.7,6.5,-8.2,-55.78,0.2,Deterioration
P0343,Amazon,Fino,Hair Care,sales_index,Sales Index,48.5,45.6,-2.9,-5.98,0.1,Deterioration
P0343,Flipkart,Fino,Hair Care,sales_index,Sales Index,24.7,18.4,-6.3,-25.51,0.1,Deterioration
P0343,JioMart,Fino,Hair Care,sales_index,Sales Index,9.3,13.4,4.1,44.09,0.1,Improvement
P0343,Meesho,Fino,Hair Care,sales_index,Sales Index,16.1,14.5,-1.6,-9.94,0.0,Deterioration
P0343,Website,Fino,Hair Care,sales_index,Sales Index,4.6,21.6,17.0,369.57,0.4,Improvement
P0427,Amazon,Kaowmanee,Skin Care,sales_index,Sales Index,16.8,28.5,11.7,69.64,0.3,Improvement
P0427,Flipkart,Kaowmanee,Skin Care,sales_index,Sales Index,10.6,5.3,-5.3,-50.0,0.1,Deterioration
P0427,JioMart,Kaowmanee,Skin Care,sales_index,Sales Index,5.2,3.0,-2.2,-42.31,0.1,Deterioration
P0427,Meesho,Kaowmanee,Skin Care,sales_index,Sales Index,6.5,3.3,-3.2,-49.23,0.1,Deterioration
P0427,Website,Kaowmanee,Skin Care,sales_index,Sales Index,4.7,3.5,-1.2,-25.53,0.0,Deterioration
P0437,Amazon,L'Oreal Paris,Skin Care,sales_index,Sales Index,46.0,44.7,-1.3,-2.83,0.0,Deterioration
P0437,Flipkart,L'Oreal Paris,Skin Care,sales_index,Sales Index,11.9,32.7,20.8,174.79,0.5,Improvement
P0437,JioMart,L'Oreal Paris,Skin Care,sales_index,Sales Index,4.1,7.8,3.7,90.24,0.1,Improvement
P0437,Meesho,L'Oreal Paris,Skin Care,sales_index,Sales Index,5.0,23.5,18.5,370.0,0.4,Improvement
P0437,Website,L'Oreal Paris,Skin Care,sales_index,Sales Index,13.4,10.5,-2.9,-21.64,0.1,Deterioration
P0475,Amazon,Listerine,Oral Care,sales_index,Sales Index,28.4,27.0,-1.4,-4.93,0.0,Deterioration
P0475,Flipkart,Listerine,Oral Care,sales_index,Sales Index,10.7,7.7,-3.0,-28.04,0.1,Deterioration
P0475,JioMart,Listerine,Oral Care,sales_index,Sales Index,6.3,4.6,-1.7,-26.98,0.0,Deterioration
P0475,Meesho,Listerine,Oral Care,sales_index,Sales Index,13.3,8.4,-4.9,-36.84,0.1,Deterioration
P0475,Website,Listerine,Oral Care,sales_index,Sales Index,3.8,6.6,2.8,73.68,0.1,Improvement
P0476,Amazon,Listerine,Oral Care,sales_index,Sales Index,29.3,30.8,1.5,5.12,0.0,Improvement
P0476,Flipkart,Listerine,Oral Care,sales_index,Sales Index,16.4,10.9,-5.5,-33.54,0.1,Deterioration
P0476,JioMart,Listerine,Oral Care,sales_index,Sales Index,6.1,6.2,0.1,1.64,0.0,Improvement
P0476,Meesho,Listerine,Oral Care,sales_index,Sales Index,4.3,14.5,10.2,237.21,0.2,Improvement
P0476,Website,Listerine,Oral Care,sales_index,Sales Index,6.1,4.5,-1.6,-26.23,0.0,Deterioration
P0488,Amazon,Listerine,Oral Care,sales_index,Sales Index,62.3,69.1,6.8,10.91,0.2,Improvement
P0488,Flipkart,Listerine,Oral Care,sales_index,Sales Index,16.7,31.4,14.7,88.02,0.3,Improvement
P0488,JioMart,Listerine,Oral Care,sales_index,Sales Index,5.0,4.5,-0.5,-10.0,0.0,Deterioration
P0488,Meesho,Listerine,Oral Care,sales_index,Sales Index,8.1,20.6,12.5,154.32,0.3,Improvement
P0488,Website,Listerine,Oral Care,sales_index,Sales Index,20.8,13.1,-7.7,-37.02,0.2,Deterioration
P0528,Amazon,NEXCARE,Skin Care,sales_index,Sales Index,55.4,48.8,-6.6,-11.91,0.2,Deterioration
P0528,Flipkart,NEXCARE,Skin Care,sales_index,Sales Index,25.6,23.8,-1.8,-7.03,0.0,Deterioration
P0528,JioMart,NEXCARE,Skin Care,sales_index,Sales Index,10.9,6.0,-4.9,-44.95,0.1,Deterioration
P0528,Meesho,NEXCARE,Skin Care,sales_index,Sales Index,22.0,14.7,-7.3,-33.18,0.2,Deterioration
P0528,Website,NEXCARE,Skin Care,sales_index,Sales Index,8.5,8.2,-0.3,-3.53,0.0,Deterioration
P0529,Amazon,NEXCARE,Skin Care,sales_index,Sales Index,75.2,51.6,-23.6,-31.38,0.6,Deterioration
P0529,Flipkart,NEXCARE,Skin Care,sales_index,Sales Index,32.6,21.3,-11.3,-34.66,0.3,Deterioration
P0529,JioMart,NEXCARE,Skin Care,sales_index,Sales Index,3.1,19.3,16.2,522.58,0.4,Improvement
P0529,Meesho,NEXCARE,Skin Care,sales_index,Sales Index,18.2,6.0,-12.2,-67.03,0.3,Deterioration
P0529,Website,NEXCARE,Skin Care,sales_index,Sales Index,11.4,11.4,0.0,0.0,0.0,No Change
P0531,Amazon,NEXCARE,Skin Care,sales_index,Sales Index,36.2,28.1,-8.1,-22.38,0.2,Deterioration
P0531,Flipkart,NEXCARE,Skin Care,sales_index,Sales Index,13.2,13.1,-0.1,-0.76,0.0,Deterioration
P0531,JioMart,NEXCARE,Skin Care,sales_index,Sales Index,5.7,4.0,-1.7,-29.82,0.0,Deterioration
P0531,Meesho,NEXCARE,Skin Care,sales_index,Sales Index,14.9,8.6,-6.3,-42.28,0.1,Deterioration
P0531,Website,NEXCARE,Skin Care,sales_index,Sales Index,2.5,3.9,1.4,56.0,0.0,Improvement
P0534,Amazon,Nexcare,Skin Care,sales_index,Sales Index,50.9,56.6,5.7,11.2,0.1,Improvement
P0534,Flipkart,Nexcare,Skin Care,sales_index,Sales Index,18.8,22.3,3.5,18.62,0.1,Improvement
P0534,JioMart,Nexcare,Skin Care,sales_index,Sales Index,7.7,4.1,-3.6,-46.75,0.1,Deterioration
P0534,Meesho,Nexcare,Skin Care,sales_index,Sales Index,17.5,15.0,-2.5,-14.29,0.1,Deterioration
P0534,Website,Nexcare,Skin Care,sales_index,Sales Index,10.7,7.8,-2.9,-27.1,0.1,Deterioration
P0536,Amazon,NOVOLIFE,Health & Wellness,sales_index,Sales Index,13.1,16.5,3.4,25.95,0.1,Improvement
P0536,Flipkart,NOVOLIFE,Health & Wellness,sales_index,Sales Index,8.9,7.4,-1.5,-16.85,0.0,Deterioration
P0536,JioMart,NOVOLIFE,Health & Wellness,sales_index,Sales Index,5.7,4.8,-0.9,-15.79,0.0,Deterioration
P0536,Meesho,NOVOLIFE,Health & Wellness,sales_index,Sales Index,9.0,7.0,-2.0,-22.22,0.0,Deterioration
P0536,Website,NOVOLIFE,Health & Wellness,sales_index,Sales Index,5.9,4.5,-1.4,-23.73,0.0,Deterioration
P0543,Amazon,Ora2,Oral Care,sales_index,Sales Index,71.7,61.1,-10.6,-14.78,0.2,Deterioration
P0543,Flipkart,Ora2,Oral Care,sales_index,Sales Index,26.2,25.2,-1.0,-3.82,0.0,Deterioration
P0543,JioMart,Ora2,Oral Care,sales_index,Sales Index,22.4,24.2,1.8,8.04,0.0,Improvement
P0543,Meesho,Ora2,Oral Care,sales_index,Sales Index,12.4,14.0,1.6,12.9,0.0,Improvement
P0543,Website,Ora2,Oral Care,sales_index,Sales Index,16.5,12.8,-3.7,-22.42,0.1,Deterioration
P0546,Amazon,Ora2,Oral Care,sales_index,Sales Index,72.3,68.1,-4.2,-5.81,0.1,Deterioration
P0546,Flipkart,Ora2,Oral Care,sales_index,Sales Index,23.6,19.9,-3.7,-15.68,0.1,Deterioration
