public_product_id,marketplace,brand_group,category_group,product_group,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,revenue_quality_score,revenue_quality_band,fee_review_flag,refund_review_flag,promotion_review_flag
P0609,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,23.6,4.4,4.0,82.9,75.3,Healthy,Monitor,Monitor,Monitor
P1043,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,24.5,5.8,3.6,80.9,73.3,Healthy,Monitor,Monitor,Monitor
P1157,Amazon,Vaseline,Skin Care,Face Cleanser,24.3,3.9,3.9,81.8,73.8,Healthy,Monitor,Monitor,Monitor
P0548,Amazon,Oral-B,Oral Care,Toothpaste,24.1,4.2,4.0,82.0,74.2,Healthy,Monitor,Monitor,Monitor
P0235,Amazon,Counterpain,Health & Wellness,Pain Relief,24.7,3.1,3.8,82.7,75.1,Healthy,Monitor,Monitor,Monitor
P0534,Amazon,Nexcare,Skin Care,General Product,25.7,4.5,4.1,81.1,73.1,Healthy,Review,Monitor,Monitor
P1085,Amazon,Tresemme,Hair Care,Hair Conditioner & Treatment,24.0,3.2,4.2,82.9,75.3,Healthy,Monitor,Monitor,Monitor
P1237,Amazon,Watsons,Oral Care,Interdental Brush,25.0,5.5,3.7,81.3,73.6,Healthy,Review,Monitor,Monitor
P0343,Amazon,Fino,Hair Care,Hair Oil & Serum,24.2,4.8,4.1,82.1,74.6,Healthy,Monitor,Monitor,Monitor
P0175,Amazon,Colgate,Oral Care,Toothpaste,25.7,3.7,3.9,81.7,72.7,Healthy,Review,Monitor,Monitor
P1120,Amazon,Vaseline,Skin Care,Body Scrub,26.0,2.8,4.0,82.3,74.0,Healthy,Review,Monitor,Monitor
P0156,Amazon,Colgate,Oral Care,Toothpaste,25.0,5.0,4.3,80.4,72.6,Healthy,Review,Monitor,Monitor
P0082,Amazon,Biore,Skin Care,Sunscreen,26.6,5.7,4.2,78.9,70.9,Healthy,Review,Monitor,Monitor
P0437,Amazon,L'Oreal Paris,Skin Care,Face Cleanser,26.0,4.5,4.1,80.5,71.9,Healthy,Review,Monitor,Monitor
P0246,Amazon,Dove,Body Care,Deodorant & Body Spray,26.7,5.6,4.4,79.0,70.8,Healthy,Review,Monitor,Monitor
P0747,Amazon,Rexona,Body Care,Deodorant & Body Spray,25.8,3.5,4.0,81.7,74.0,Healthy,Review,Monitor,Monitor
P0264,Amazon,Dove,Body Care,Deodorant & Body Spray,26.3,5.0,4.3,79.5,70.9,Healthy,Review,Monitor,Monitor
P0218,Amazon,Colgate,Oral Care,Toothpaste,25.5,5.3,4.3,80.4,72.2,Healthy,Review,Monitor,Monitor
P0563,Amazon,Oral-B,Oral Care,Toothpaste,25.8,5.0,4.4,79.5,71.8,Healthy,Review,Monitor,Monitor
P1150,Amazon,Vaseline,Body Care,Deodorant & Body Spray,27.3,2.6,3.8,81.4,72.6,Healthy,Review,Monitor,Monitor
P0034,Amazon,Axe,Body Care,Deodorant & Body Spray,27.6,5.3,4.2,77.6,69.7,Healthy,Review,Monitor,Monitor
P0744,Amazon,Rexona,Body Care,Deodorant & Body Spray,26.0,5.3,4.1,79.8,72.0,Healthy,Review,Monitor,Monitor
P0528,Amazon,NEXCARE,Skin Care,General Product,26.8,4.3,3.9,81.1,72.4,Healthy,Review,Monitor,Monitor
P1176,Amazon,Wangprom,Health & Wellness,General Product,28.4,4.6,4.3,79.0,70.3,Healthy,Review,Monitor,Monitor
P1107,Amazon,Vaseline,Body Care,General Product,27.5,6.3,4.0,78.6,70.4,Healthy,Review,Monitor,Monitor
P0039,Amazon,Axe,Body Care,Deodorant & Body Spray,28.4,6.9,4.2,77.2,68.7,Healthy,Review,Monitor,Monitor
P0178,Amazon,Colgate,Oral Care,Toothpaste,27.9,4.0,3.9,79.7,70.6,Healthy,Review,Monitor,Monitor
P1114,Amazon,Vaseline,Body Care,Deodorant & Body Spray,27.6,4.5,4.1,79.7,71.4,Healthy,Review,Monitor,Monitor
P0931,Amazon,SHIVAMAX,Electronics & Travel Accessories,General Product,30.0,4.9,4.0,77.4,68.7,Healthy,Review,Monitor,Monitor
P1196,Amazon,Watsons,Oral Care,Floss Picks,31.5,4.5,3.9,76.5,67.0,Healthy,Review,Monitor,Monitor
P1190,Amazon,Watsons,Oral Care,Dental Floss,32.2,3.6,4.2,76.4,67.1,Healthy,Review,Monitor,Monitor
P0212,Amazon,Colgate,Oral Care,Toothpaste,31.5,5.0,3.7,76.9,67.6,Healthy,Review,Monitor,Monitor
P0263,Flipkart,Dove,Hair Care,Hair Conditioner & Treatment,15.2,3.4,4.0,92.3,86.4,Strong,Monitor,Monitor,Monitor
P0270,Amazon,Dove,Hair Care,Hair Oil & Serum,32.0,2.6,4.1,77.9,67.9,Healthy,Review,Monitor,Monitor
P0170,Amazon,Colgate,Oral Care,Toothpaste,32.3,4.8,4.0,76.4,67.3,Healthy,Review,Monitor,Monitor
P0890,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,32.5,5.7,3.6,74.5,65.2,Healthy,Review,Monitor,Monitor
P0763,Amazon,Sasi,Lip,Lip Care,32.3,3.6,4.1,77.5,67.7,Healthy,Review,Monitor,Monitor
P1099,Amazon,Tros,Body Care,Deodorant & Body Spray,33.3,4.0,4.0,75.4,65.6,Healthy,Review,Monitor,Monitor
P0261,Amazon,Dove,Hair Care,General Product,33.0,5.9,3.9,74.8,66.0,Healthy,Review,Monitor,Monitor
P0840,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,32.4,3.9,4.3,76.7,66.7,Healthy,Review,Monitor,Monitor
P0758,Amazon,Sasi,Lip,Sunscreen,32.0,3.2,4.3,76.9,66.5,Healthy,Review,Monitor,Monitor
P1185,Amazon,Watsons,Oral Care,Floss Picks,32.0,6.7,4.0,74.0,64.6,Watch,Review,Monitor,Monitor
P0581,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,15.1,4.3,4.0,90.2,84.3,Strong,Monitor,Monitor,Monitor
P0598,Amazon,Pantene,Hair Care,General Product,32.6,4.2,3.8,76.5,66.5,Healthy,Review,Monitor,Monitor
P1254,Amazon,Watsons,Oral Care,Dental Floss,32.4,3.2,4.0,76.7,66.6,Healthy,Review,Monitor,Monitor
P1112,Amazon,Vaseline,Body Care,Deodorant & Body Spray,31.9,3.0,3.9,78.1,68.3,Healthy,Review,Monitor,Monitor
P0024,Amazon,AR,Skin Care,General Product,33.6,6.5,4.2,73.1,63.4,Watch,Review,Monitor,Monitor
P0531,Amazon,NEXCARE,Skin Care,General Product,32.4,2.9,3.9,77.9,67.8,Healthy,Review,Monitor,Monitor
P1033,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,32.3,4.7,4.1,75.7,65.7,Healthy,Review,Monitor,Monitor
P1039,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,33.5,4.4,4.1,75.7,65.4,Healthy,Review,Monitor,Monitor
P0944,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,32.7,5.2,3.8,75.8,65.2,Healthy,Review,Monitor,Monitor
P0476,Amazon,Listerine,Oral Care,Mouthwash,30.8,4.2,3.8,78.6,68.9,Healthy,Review,Monitor,Monitor
P0595,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,32.2,4.6,4.2,76.2,67.1,Healthy,Review,Monitor,Monitor
P0278,Amazon,Dove,Hair Care,Shampoo,33.3,8.1,4.5,72.1,63.5,Watch,Review,Monitor,Monitor
P0780,Flipkart,Senka,Skin Care,Face Cleanser,15.1,4.3,4.4,91.0,84.4,Strong,Monitor,Monitor,Monitor
P0553,Flipkart,Oral-B,Oral Care,Toothpaste,15.4,6.2,3.8,89.4,83.7,Strong,Monitor,Monitor,Monitor
P0705,Amazon,Protex,Body Care,General Product,34.3,4.9,3.4,75.1,64.9,Watch,Review,Monitor,Monitor
P0262,Amazon,Dove,Hair Care,Hair Oil & Serum,32.3,4.9,4.2,76.5,66.8,Healthy,Review,Monitor,Monitor
P1100,Amazon,Tros,Body Care,Deodorant & Body Spray,32.7,4.9,4.1,76.1,65.5,Healthy,Review,Monitor,Monitor
P1044,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,15.2,2.7,4.3,91.0,85.2,Strong,Monitor,Monitor,Monitor
P0554,Flipkart,Oral-B,Oral Care,Dental Floss,15.3,4.9,3.8,90.9,84.4,Strong,Monitor,Monitor,Monitor
P0225,Amazon,Colgate,Oral Care,Toothpaste,33.8,4.7,4.0,75.2,65.1,Healthy,Review,Monitor,Monitor
P0555,Amazon,Oral-B,Oral Care,Dental Floss,32.6,4.4,3.9,76.2,66.4,Healthy,Review,Monitor,Monitor
P0253,Amazon,Dove,Hair Care,General Product,32.7,6.2,3.9,74.6,65.0,Healthy,Review,Monitor,Monitor
P1121,Flipkart,Vaseline,Body Care,Body Wash,15.5,6.0,3.8,89.3,84.3,Strong,Monitor,Monitor,Monitor
P0168,Flipkart,Colgate,Oral Care,Toothpaste,15.2,4.7,4.1,90.6,85.5,Strong,Monitor,Monitor,Monitor
P0546,Flipkart,Ora2,Oral Care,Toothpaste,15.2,2.9,4.8,91.4,85.0,Strong,Monitor,Monitor,Monitor
P0557,Amazon,Oral-B,Oral Care,Dental Floss,32.8,3.8,4.3,77.1,67.7,Healthy,Review,Monitor,Monitor
P0529,Flipkart,NEXCARE,Skin Care,General Product,15.2,3.5,4.1,91.4,85.5,Strong,Monitor,Monitor,Monitor
P1105,Flipkart,Vaseline,Body Care,Body Wash,15.0,4.9,4.1,89.3,83.9,Strong,Monitor,Monitor,Monitor
P0308,Amazon,Dove,Hair Care,General Product,32.3,4.7,3.9,76.3,66.9,Healthy,Review,Monitor,Monitor
P0573,Flipkart,Pantene,Hair Care,Shampoo,15.1,3.8,3.4,91.9,86.4,Strong,Monitor,Monitor,Monitor
P0257,Amazon,Dove,Hair Care,General Product,33.5,3.4,3.8,76.9,66.1,Healthy,Review,Monitor,Monitor
P0781,Flipkart,Senka,Skin Care,Face Cleanser,14.8,4.7,4.3,90.2,84.7,Strong,Monitor,Monitor,Monitor
P0271,Amazon,Dove,Hair Care,General Product,32.2,5.1,3.9,76.5,66.6,Healthy,Review,Monitor,Monitor
P1080,Flipkart,Tresemme,Hair Care,Hair Conditioner & Treatment,15.2,5.0,3.8,90.6,84.4,Strong,Monitor,Monitor,Monitor
P0259,Amazon,Dove,Hair Care,General Product,33.6,4.5,4.0,75.9,65.4,Healthy,Review,Monitor,Monitor
P0042,Flipkart,Axe,Body Care,Deodorant & Body Spray,15.1,3.8,4.4,90.3,84.7,Strong,Monitor,Monitor,Monitor
P0029,Flipkart,Axe,Body Care,Deodorant & Body Spray,15.1,3.4,3.3,92.8,85.8,Strong,Monitor,Monitor,Monitor
P0797,Flipkart,Sensodyne,Oral Care,Toothpaste,15.7,9.0,4.0,86.1,80.5,Strong,Monitor,Monitor,Monitor
P0548,Flipkart,Oral-B,Oral Care,Toothpaste,15.0,3.0,4.4,92.1,87.1,Strong,Monitor,Monitor,Monitor
P1003,Amazon,Snake Brand,Body Care,General Product,34.5,3.7,4.1,75.3,64.9,Watch,Review,Monitor,Monitor
P0770,Amazon,Sasi,Skin Care,General Product,34.2,3.3,3.9,75.9,64.8,Watch,Review,Monitor,Monitor
P0813,Flipkart,Sensodyne,Oral Care,Toothpaste,15.3,6.2,3.7,89.8,84.5,Strong,Monitor,Monitor,Monitor
P0922,Flipkart,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,15.2,4.4,3.8,90.2,84.1,Strong,Monitor,Monitor,Monitor
P0690,Amazon,Protex,Body Care,General Product,36.4,5.6,4.2,72.6,61.5,Watch,Review,Monitor,Monitor
P0260,Flipkart,Dove,Hair Care,Hair Conditioner & Treatment,15.6,6.6,4.1,87.7,81.7,Strong,Monitor,Monitor,Monitor
P0590,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,15.6,9.0,4.1,85.9,81.5,Strong,Monitor,Monitor,Monitor
P0279,Flipkart,Dove,Body Care,General Product,15.4,5.8,4.4,87.5,81.0,Strong,Monitor,Monitor,Monitor
P0610,Flipkart,Pantene,Hair Care,Hair Oil & Serum,15.4,8.9,3.7,86.8,81.6,Strong,Monitor,Monitor,Monitor
P0562,Flipkart,Oral-B,Oral Care,Toothpaste,15.2,2.6,3.8,92.3,86.3,Strong,Monitor,Monitor,Monitor
P1248,Amazon,Watsons,Skin Care,Lip Care,32.5,4.4,3.8,76.5,67.1,Healthy,Review,Monitor,Monitor
P0586,Flipkart,Pantene,Hair Care,General Product,15.2,6.9,3.8,88.7,83.3,Strong,Monitor,Monitor,Monitor
P0868,Amazon,SHIVAMAX,Home & Kitchen,General Product,35.7,6.1,4.2,72.7,61.6,Watch,Review,Monitor,Monitor
P0252,Flipkart,Dove,Hair Care,Hair Conditioner & Treatment,15.0,3.5,4.2,91.3,85.1,Strong,Monitor,Monitor,Monitor
P0609,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,15.0,4.3,4.5,91.6,84.8,Strong,Monitor,Monitor,Monitor
P1035,Amazon,Sunsilk,Hair Care,Shampoo,36.7,3.6,4.0,74.5,63.4,Watch,Review,Monitor,Monitor
P1032,Amazon,Sunsilk,Hair Care,Shampoo,37.2,4.2,3.9,73.6,61.7,Watch,Review,Monitor,Monitor
P1043,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,15.1,3.6,4.2,92.0,85.3,Strong,Monitor,Monitor,Monitor
P1048,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,15.2,2.6,3.5,93.1,88.1,Strong,Monitor,Monitor,Monitor
P0906,Flipkart,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,15.2,4.5,3.8,91.2,85.4,Strong,Monitor,Monitor,Monitor
P0543,Flipkart,Ora2,Oral Care,Toothpaste,15.2,3.6,3.8,92.0,86.9,Strong,Monitor,Monitor,Monitor
P0172,Flipkart,Colgate,Oral Care,Toothpaste,15.2,5.0,4.2,89.5,83.3,Strong,Monitor,Monitor,Monitor
P0233,Amazon,Counterpain,Health & Wellness,Pain Relief,33.6,4.3,3.7,75.8,66.1,Healthy,Review,Monitor,Monitor
P0342,Flipkart,Fino,Hair Care,Hair Conditioner & Treatment,15.1,4.0,4.9,89.8,83.6,Strong,Monitor,Monitor,Monitor
P0566,Flipkart,Pantene,Hair Care,Shampoo,15.5,6.9,3.7,89.4,84.3,Strong,Monitor,Monitor,Monitor
P0230,Flipkart,Counterpain,Health & Wellness,Pain Relief,15.2,4.5,3.8,90.8,85.7,Strong,Monitor,Monitor,Monitor
P0022,Flipkart,Ambi Pur,Home & Kitchen,Air Freshener,15.0,5.1,3.5,90.9,84.2,Strong,Monitor,Monitor,Monitor
P1164,Amazon,Wangprom,Health & Wellness,Herbal Inhaler,36.4,4.0,4.0,74.0,63.7,Watch,Review,Monitor,Monitor
P0604,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,15.2,4.9,4.1,89.8,83.1,Strong,Monitor,Monitor,Monitor
P0594,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,15.1,2.3,4.2,93.2,87.3,Strong,Monitor,Monitor,Monitor
P0720,Amazon,Protex,Body Care,General Product,36.5,3.9,4.0,74.6,63.2,Watch,Review,Monitor,Monitor
P0706,Amazon,Protex,Body Care,General Product,34.0,3.4,3.9,76.4,66.4,Healthy,Review,Monitor,Monitor
P1075,Flipkart,Tresemme,Hair Care,Shampoo,14.9,2.6,4.6,91.9,86.7,Strong,Monitor,Monitor,Monitor
P1041,Amazon,Sunsilk,Hair Care,Shampoo,36.3,5.1,4.3,73.0,62.2,Watch,Review,Monitor,Monitor
P1146,Flipkart,Vaseline,Body Care,General Product,15.0,2.3,4.2,93.5,87.1,Strong,Monitor,Monitor,Monitor
P0475,Amazon,Listerine,Oral Care,Mouthwash,36.3,3.1,3.7,74.7,63.4,Watch,Review,Monitor,Monitor
P0795,Flipkart,Senka,Skin Care,Face Cleanser,15.1,3.8,3.8,91.8,86.1,Strong,Monitor,Monitor,Monitor
P0783,Flipkart,Senka,Skin Care,Face Cleanser,15.0,2.2,4.3,93.1,87.6,Strong,Monitor,Monitor,Monitor
P0602,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,15.1,2.9,3.8,92.4,86.8,Strong,Monitor,Monitor,Monitor
P1157,Flipkart,Vaseline,Skin Care,Face Cleanser,15.5,7.2,3.7,88.0,82.1,Strong,Monitor,Monitor,Monitor
P1156,Flipkart,Vaseline,Body Care,Body Lotion,15.1,2.5,4.4,91.4,85.7,Strong,Monitor,Monitor,Monitor
P1131,Flipkart,Vaseline,Skin Care,Sunscreen,15.4,6.1,4.5,89.0,82.7,Strong,Monitor,Monitor,Monitor
P1237,Flipkart,Watsons,Oral Care,Interdental Brush,15.1,1.8,3.9,93.9,88.3,Strong,Monitor,Monitor,Monitor
P0777,Flipkart,Senka,Skin Care,Face Cleanser,15.2,2.8,3.7,92.0,86.1,Strong,Monitor,Monitor,Monitor
P1067,Flipkart,Tiger Balm,Health & Wellness,Pain Relief,14.9,1.2,4.2,93.3,87.7,Strong,Monitor,Monitor,Monitor
P1042,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,14.9,1.4,3.9,94.9,88.4,Strong,Monitor,Monitor,Monitor
P0617,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,15.3,6.3,4.3,89.5,83.1,Strong,Monitor,Monitor,Monitor
P0565,Flipkart,Pair,Skin Care,General Product,15.6,6.7,4.0,87.9,82.9,Strong,Monitor,Monitor,Monitor
P0041,Flipkart,Axe,Body Care,Deodorant & Body Spray,15.2,4.2,4.5,89.6,83.9,Strong,Monitor,Monitor,Monitor
P1029,Amazon,Sunsilk,Hair Care,Shampoo,36.5,5.2,3.7,72.5,62.5,Watch,Review,Monitor,Monitor
P0547,Flipkart,Oral-B,Oral Care,Dental Floss,15.2,4.5,4.1,91.6,85.4,Strong,Monitor,Monitor,Monitor
P1085,Flipkart,Tresemme,Hair Care,Hair Conditioner & Treatment,15.0,3.2,4.0,92.8,86.3,Strong,Monitor,Monitor,Monitor
P1249,Amazon,Watsons,Oral Care,Floss Picks,39.1,4.3,3.6,72.1,60.6,Watch,Review,Monitor,Monitor
P0488,Flipkart,Listerine,Oral Care,Mouthwash,15.2,5.0,3.5,91.2,85.3,Strong,Monitor,Monitor,Monitor
P1052,Amazon,Sunsilk,Hair Care,Shampoo,37.0,4.4,3.9,72.6,61.4,Watch,Review,Monitor,Monitor
P1200,Amazon,Watsons,Oral Care,Dental Floss,40.4,5.9,4.2,68.9,58.0,Watch,Review,Monitor,Monitor
P1109,Flipkart,Vaseline,Body Care,Body Wash,15.4,4.8,4.5,90.0,84.2,Strong,Monitor,Monitor,Monitor
P0235,Flipkart,Counterpain,Health & Wellness,Pain Relief,15.5,5.6,3.7,91.8,84.6,Strong,Monitor,Monitor,Monitor
P0427,Amazon,Kaowmanee,Skin Care,General Product,38.8,6.3,4.1,70.8,60.0,Watch,Review,Monitor,Monitor
P0679,Amazon,Poy Sian,Health & Wellness,Herbal Inhaler,36.2,2.6,3.6,75.7,64.5,Watch,Review,Monitor,Monitor
P1162,Flipkart,Vita Keratin,Hair Care,General Product,15.6,7.2,4.0,88.0,83.4,Strong,Monitor,Monitor,Monitor
P1072,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,39.7,5.0,4.3,70.6,59.3,Watch,Review,Monitor,Monitor
P1038,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,36.7,4.7,4.4,72.0,60.9,Watch,Review,Monitor,Monitor
P0264,Flipkart,Dove,Body Care,Deodorant & Body Spray,15.5,5.2,3.8,89.9,83.8,Strong,Monitor,Monitor,Monitor
