dataset_period,marketplace,brand_group,category_group,product_count,sales_index,units_index,avg_fee_pct_of_gross,avg_refund_pct_of_gross,avg_promotion_pct_of_gross,avg_net_to_gross_pct,margin_risk_score,revenue_quality_score
12m,JioMart,Colgate,Oral Care,9,11.1,14.2,11.5,4.1,4.3,95.2,5.1,88.6
12m,Website,Oral-B,Oral Care,8,11.0,12.2,5.5,4.8,4.0,102.2,3.1,92.6
12m,Meesho,Axe,Body Care,5,10.2,11.6,13.5,5.0,3.9,92.8,5.7,86.9
12m,Flipkart,Tresemme,Hair Care,3,9.6,9.2,15.0,3.7,4.1,91.7,6.2,85.7
12m,Flipkart,Tiger Balm,Health & Wellness,5,9.2,15.5,15.9,5.6,4.2,90.3,6.7,83.8
12m,Flipkart,Vaseline,Skin Care,3,8.8,9.1,15.5,7.1,4.1,88.3,6.5,82.3
12m,Website,Senka,Skin Care,5,8.7,8.2,5.2,5.4,3.8,101.3,3.0,92.4
12m,Flipkart,Dove,Body Care,3,8.5,9.4,15.4,4.4,4.1,90.3,6.3,84.4
12m,Amazon,Wangprom,Health & Wellness,2,8.4,14.7,31.5,4.4,4.2,77.1,12.0,67.0
12m,Flipkart,Rexona,Body Care,3,7.9,9.2,15.6,5.5,4.1,89.3,6.4,83.4
12m,Amazon,Ambi Pur,Home & Kitchen,1,7.9,7.3,23.8,3.6,4.3,82.5,9.0,74.7
12m,Amazon,Pair,Skin Care,1,7.8,7.5,24.6,5.5,4.1,81.1,9.4,72.6
12m,JioMart,Senka,Skin Care,5,7.8,7.5,11.3,5.6,3.8,94.3,5.0,88.5
12m,Website,Watsons,Oral Care,10,7.7,15.3,6.1,4.5,4.2,105.2,3.4,92.7
12m,Amazon,Sasi,Lip,2,7.7,14.3,32.1,3.4,4.2,77.2,11.9,67.1
12m,Amazon,Vita Keratin,Hair Care,1,7.7,7.5,24.3,4.5,3.8,82.2,9.2,74.0
12m,JioMart,Watsons,Oral Care,10,7.6,15.4,12.3,3.5,4.1,96.7,5.3,89.3
12m,Flipkart,Counterpain,Health & Wellness,3,7.6,9.2,15.6,5.2,3.8,91.2,6.5,84.2
12m,Amazon,Tros,Body Care,2,7.5,13.8,33.0,4.4,4.1,75.7,12.2,65.6
12m,Flipkart,NEXCARE,Skin Care,3,7.4,9.2,15.4,3.9,3.9,91.5,6.3,85.3
12m,JioMart,Axe,Body Care,5,7.3,8.0,11.3,4.4,3.8,95.2,5.0,88.5
12m,Website,Axe,Body Care,5,7.3,8.0,5.2,3.3,3.8,103.2,2.8,94.6
12m,Amazon,SHIVAMAX,Electronics & Travel Accessories,2,6.9,14.3,34.6,4.2,4.0,74.7,13.7,62.5
12m,Meesho,Tresemme,Hair Care,3,6.9,7.0,13.2,3.3,3.9,94.1,5.5,88.1
12m,Amazon,Nexcare,Skin Care,1,6.8,7.8,25.7,4.5,4.1,81.1,9.7,73.1
12m,Flipkart,Ora2,Oral Care,2,6.8,6.4,15.2,3.2,4.3,91.7,6.2,85.9
12m,Flipkart,Sensodyne,Oral Care,2,6.8,6.4,15.5,7.6,3.8,87.9,6.4,82.4
12m,Flipkart,SHIVAMAX,Hair Care,2,6.6,6.3,15.2,4.5,3.8,90.7,6.2,84.7
12m,Meesho,Tiger Balm,Health & Wellness,5,6.5,11.2,14.1,5.9,3.9,92.8,6.1,85.8
12m,Meesho,Vaseline,Skin Care,3,6.3,6.8,13.4,6.9,4.3,90.9,5.8,85.1
12m,Amazon,Biore,Skin Care,1,6.2,7.7,26.6,5.7,4.2,78.9,10.0,70.9
12m,Amazon,L'Oreal Paris,Skin Care,1,6.1,7.0,26.0,4.5,4.1,80.5,9.8,71.9
12m,Meesho,Dove,Body Care,3,6.0,6.9,13.5,3.2,4.0,94.3,5.6,88.3
12m,Flipkart,Fino,Hair Care,2,5.9,5.8,15.3,3.7,4.4,90.9,6.3,84.4
12m,Flipkart,Listerine,Oral Care,3,5.8,8.6,15.8,5.8,3.8,90.7,6.6,83.6
12m,Meesho,NEXCARE,Skin Care,3,5.7,7.5,13.5,3.9,4.2,93.8,5.7,87.3
12m,Meesho,Counterpain,Health & Wellness,3,5.6,7.0,13.5,5.0,4.0,91.8,5.8,86.1
12m,Flipkart,SHIVAMAX,Health & Wellness,4,5.5,13.1,16.4,4.9,4.1,93.1,6.8,85.6
12m,Flipkart,Protex,Body Care,4,5.5,12.2,16.5,3.4,4.1,93.3,6.7,86.1
12m,Meesho,Rexona,Body Care,3,5.2,6.4,13.5,5.5,3.9,92.8,5.8,86.1
12m,Flipkart,SHIVAMAX,Home & Kitchen,4,4.9,12.5,17.0,5.6,4.1,91.7,7.0,84.3
12m,JioMart,Vaseline,Skin Care,3,4.9,5.2,11.5,4.3,4.0,94.6,5.0,88.8
12m,Meesho,Fino,Hair Care,2,4.9,5.0,13.4,6.0,3.6,92.5,5.7,85.7
12m,Meesho,SHIVAMAX,Hair Care,2,4.7,4.7,13.4,4.9,4.0,91.1,5.7,85.4
12m,Website,Tresemme,Hair Care,3,4.7,4.6,5.2,4.0,3.9,103.0,2.9,93.2
12m,JioMart,Rexona,Body Care,3,4.6,5.6,11.5,5.9,4.1,93.8,5.2,86.7
12m,JioMart,Tiger Balm,Health & Wellness,5,4.5,7.6,12.1,2.8,3.6,97.9,5.2,90.7
12m,Website,Tiger Balm,Health & Wellness,5,4.5,7.5,6.0,5.5,4.0,102.5,3.5,91.4
12m,Website,Dove,Body Care,3,4.5,5.0,5.4,4.5,3.9,103.2,3.0,93.0
12m,Website,Vaseline,Skin Care,3,4.5,4.8,5.2,4.2,4.1,102.7,2.9,93.5
12m,Meesho,Sensodyne,Oral Care,2,4.5,4.5,13.4,6.9,4.0,90.6,5.8,84.3
12m,Meesho,Listerine,Oral Care,3,4.4,7.1,13.9,6.2,4.0,92.0,6.0,85.9
12m,JioMart,Dove,Body Care,3,4.4,4.9,11.2,3.1,4.2,95.8,4.9,89.3
12m,JioMart,Tresemme,Hair Care,3,4.3,4.2,11.3,5.0,3.9,94.2,5.0,88.6
12m,JioMart,Counterpain,Health & Wellness,3,4.2,5.1,11.6,5.5,3.9,93.7,5.2,87.6
12m,Meesho,SHIVAMAX,Health & Wellness,4,4.1,10.2,14.8,5.9,4.2,93.6,6.3,85.9
12m,Meesho,Ora2,Oral Care,2,4.1,4.1,13.5,6.2,3.9,91.3,5.8,85.1
12m,Meesho,Protex,Body Care,4,4.0,9.3,14.6,4.8,3.9,94.3,6.1,86.7
12m,Website,NEXCARE,Skin Care,3,4.0,5.0,5.9,8.0,4.6,98.5,3.5,89.8
12m,Website,Counterpain,Health & Wellness,3,4.0,4.8,5.5,4.0,4.3,104.0,3.0,94.2
12m,Website,Rexona,Body Care,3,4.0,4.8,5.2,3.4,4.2,103.5,2.9,94.0
12m,Amazon,AR,Skin Care,1,3.7,6.9,33.6,6.5,4.2,73.1,12.4,63.4
12m,JioMart,NEXCARE,Skin Care,3,3.6,4.5,11.3,4.8,4.1,94.9,4.9,90.3
12m,JioMart,Fino,Hair Care,2,3.5,3.4,11.3,5.5,5.1,92.3,5.1,87.6
12m,Amazon,Snake Brand,Body Care,1,3.4,7.0,34.5,3.7,4.1,75.3,12.9,64.9
12m,Website,Listerine,Oral Care,3,3.4,4.9,5.6,5.0,4.1,103.3,3.3,92.2
12m,Website,SHIVAMAX,Hair Care,2,3.4,3.2,5.2,3.8,4.1,102.5,3.0,93.1
12m,Meesho,SHIVAMAX,Home & Kitchen,4,3.3,9.0,14.6,4.5,4.1,95.9,6.2,87.1
12m,Amazon,Sasi,Skin Care,1,3.3,6.9,34.2,3.3,3.9,75.9,12.7,64.8
12m,Amazon,Watsons,Skin Care,1,3.3,6.1,32.5,4.4,3.8,76.5,12.0,67.1
12m,JioMart,Ora2,Oral Care,2,3.3,3.2,11.2,2.9,4.0,95.1,4.9,88.5
12m,JioMart,SHIVAMAX,Hair Care,2,3.3,3.2,11.3,6.1,4.4,92.6,5.1,86.5
12m,Website,Ora2,Oral Care,2,3.3,3.1,5.4,3.5,4.0,102.7,2.9,94.1
12m,Flipkart,SHIVAMAX,Electronics & Travel Accessories,2,3.2,6.6,16.4,7.0,4.3,89.5,6.9,83.8
12m,Website,Fino,Hair Care,2,3.2,3.1,5.5,6.6,3.9,99.8,3.3,90.2
12m,Flipkart,Ambi Pur,Home & Kitchen,1,3.2,3.0,15.0,5.1,3.5,90.9,6.2,84.2
12m,JioMart,Listerine,Oral Care,3,3.1,4.7,11.5,3.3,4.4,95.7,5.1,89.4
12m,Website,Sensodyne,Oral Care,2,3.1,3.0,5.5,3.7,3.7,102.9,2.9,93.5
12m,Flipkart,Sasi,Lip,2,3.0,5.6,16.0,4.0,3.5,92.3,6.5,85.5
12m,Flipkart,Pair,Skin Care,1,3.0,3.0,15.6,6.7,4.0,87.9,6.3,82.9
12m,Amazon,Kaowmanee,Skin Care,1,2.9,7.4,38.8,6.3,4.1,70.8,14.3,60.0
12m,Amazon,Poy Sian,Health & Wellness,1,2.9,6.6,36.2,2.6,3.6,75.7,13.5,64.5
12m,Flipkart,Tros,Body Care,2,2.9,5.5,16.0,5.3,4.0,91.2,6.5,84.9
12m,Flipkart,Vita Keratin,Hair Care,1,2.9,2.8,15.6,7.2,4.0,88.0,6.4,83.4
12m,JioMart,Sensodyne,Oral Care,2,2.9,2.8,11.5,5.2,3.6,93.9,5.0,87.4
12m,JioMart,SHIVAMAX,Health & Wellness,4,2.8,6.6,12.6,4.9,4.2,96.7,5.5,88.5
12m,Flipkart,Wangprom,Health & Wellness,2,2.8,5.1,16.0,4.8,3.8,92.1,6.6,85.3
12m,Flipkart,Nexcare,Skin Care,1,2.8,3.3,15.6,5.6,4.1,88.9,6.5,82.9
12m,JioMart,Protex,Body Care,4,2.7,6.1,12.2,3.4,4.0,97.9,5.3,89.9
12m,Website,SHIVAMAX,Health & Wellness,4,2.6,6.4,6.7,6.8,4.6,103.8,3.6,91.6
12m,Flipkart,L'Oreal Paris,Skin Care,1,2.6,3.1,15.3,3.8,4.4,90.8,6.3,85.0
12m,Meesho,Ambi Pur,Home & Kitchen,1,2.6,2.6,13.2,6.2,4.0,92.5,5.7,85.9
12m,Website,SHIVAMAX,Home & Kitchen,4,2.5,6.7,7.2,5.4,4.1,106.8,3.8,91.3
12m,Website,Protex,Body Care,4,2.5,5.7,6.2,4.3,3.9,107.1,3.4,92.2
12m,Meesho,Sasi,Lip,2,2.5,5.0,14.3,4.5,3.8,94.6,6.0,87.5
12m,JioMart,SHIVAMAX,Home & Kitchen,4,2.4,6.2,12.8,5.9,4.1,96.7,5.6,88.1
12m,Flipkart,Biore,Skin Care,1,2.4,3.0,15.6,4.4,4.7,90.8,6.5,84.4
12m,Meesho,Wangprom,Health & Wellness,2,2.3,4.3,14.1,4.6,4.0,94.4,5.9,88.0
12m,Amazon,NOVOLIFE,Health & Wellness,1,2.2,6.7,43.0,4.3,4.0,69.5,16.0,57.1
12m,Meesho,Tros,Body Care,2,2.2,4.4,13.7,4.4,4.0,94.5,5.8,87.6
12m,Meesho,Vita Keratin,Hair Care,1,2.1,2.2,13.4,4.4,3.7,93.4,5.6,87.2
12m,Meesho,Pair,Skin Care,1,2.1,2.1,13.5,7.0,4.5,89.1,5.8,84.8
12m,JioMart,Wangprom,Health & Wellness,2,1.9,3.4,11.9,5.9,4.0,94.8,5.3,87.3
12m,Meesho,SHIVAMAX,Electronics & Travel Accessories,2,1.8,4.1,14.5,3.9,4.2,94.3,6.2,86.2
12m,Website,Wangprom,Health & Wellness,2,1.8,3.2,6.2,4.5,4.0,104.0,3.3,92.8
12m,Meesho,Biore,Skin Care,1,1.8,2.3,12.9,0.8,4.0,96.8,5.3,90.6
12m,Meesho,L'Oreal Paris,Skin Care,1,1.8,2.3,13.5,4.8,3.7,94.2,5.7,87.2
12m,Meesho,Nexcare,Skin Care,1,1.8,2.2,13.4,3.4,4.2,93.7,5.6,87.3
12m,Flipkart,AR,Skin Care,1,1.6,3.1,16.2,5.0,3.7,91.8,6.6,84.6
12m,JioMart,Sasi,Lip,2,1.6,3.1,12.3,3.0,3.9,97.6,5.1,90.8
12m,Flipkart,Watsons,Skin Care,1,1.6,3.0,15.9,3.0,3.8,93.5,6.4,87.4
12m,JioMart,Tros,Body Care,2,1.6,3.0,12.0,2.8,3.1,100.0,5.0,91.4
12m,Website,Tros,Body Care,2,1.6,3.0,5.9,2.3,3.4,107.5,3.0,94.7
12m,JioMart,Ambi Pur,Home & Kitchen,1,1.6,1.5,11.0,3.2,4.4,96.0,4.9,89.0
12m,Flipkart,Sasi,Skin Care,1,1.5,3.1,15.8,2.0,3.4,96.1,6.2,89.0
12m,Website,SHIVAMAX,Electronics & Travel Accessories,2,1.5,3.0,6.0,3.9,4.3,106.6,3.3,93.8
12m,Website,Sasi,Lip,2,1.5,2.8,6.0,4.1,4.2,105.1,3.2,93.3
12m,JioMart,Pair,Skin Care,1,1.5,1.5,11.0,0.9,4.3,97.7,4.6,92.4
12m,Website,Pair,Skin Care,1,1.5,1.5,5.3,2.6,3.4,105.4,2.6,96.5
12m,Website,Vita Keratin,Hair Care,1,1.5,1.5,5.6,5.7,4.3,99.1,3.2,91.2
12m,JioMart,SHIVAMAX,Electronics & Travel Accessories,2,1.4,3.1,12.1,3.2,3.6,96.9,5.1,90.6
12m,Flipkart,Snake Brand,Body Care,1,1.4,3.0,16.1,1.7,3.4,96.3,6.4,88.9
12m,Meesho,AR,Skin Care,1,1.4,2.7,14.1,3.2,4.2,95.7,5.8,89.6
12m,JioMart,L'Oreal Paris,Skin Care,1,1.4,1.6,11.2,5.3,4.7,93.9,5.2,86.4
12m,Website,Nexcare,Skin Care,1,1.4,1.6,5.5,3.7,3.8,103.8,2.9,94.1
12m,JioMart,Nexcare,Skin Care,1,1.3,1.5,12.1,8.3,3.7,90.7,5.4,84.5
12m,JioMart,Vita Keratin,Hair Care,1,1.3,1.3,11.3,2.3,4.4,95.9,4.8,91.9
12m,Website,Ambi Pur,Home & Kitchen,1,1.3,1.3,5.0,1.3,3.2,105.7,2.4,97.9
12m,Meesho,Snake Brand,Body Care,1,1.2,2.6,14.5,3.9,3.7,95.5,6.0,89.0
12m,Meesho,Watsons,Skin Care,1,1.2,2.4,13.6,1.1,3.3,99.8,5.5,93.0
12m,Website,L'Oreal Paris,Skin Care,1,1.2,1.4,5.3,3.4,4.9,103.5,3.1,93.8
12m,Flipkart,Poy Sian,Health & Wellness,1,1.1,2.6,16.2,4.0,3.6,93.8,6.5,87.0
12m,Flipkart,NOVOLIFE,Health & Wellness,1,1.0,3.2,17.1,4.6,3.8,93.9,6.9,86.6
12m,Flipkart,Kaowmanee,Skin Care,1,1.0,2.6,16.8,4.9,4.0,91.9,6.8,84.4
12m,Website,AR,Skin Care,1,1.0,1.9,5.8,2.9,3.8,107.7,3.0,94.3
12m,JioMart,Biore,Skin Care,1,1.0,1.3,12.0,6.6,4.8,92.4,5.5,85.6
12m,Website,Biore,Skin Care,1,1.0,1.3,5.2,3.2,5.7,102.6,3.0,94.7
12m,Meesho,Poy Sian,Health & Wellness,1,0.9,2.1,14.4,3.7,4.1,95.3,5.9,89.2
12m,Website,Snake Brand,Body Care,1,0.9,2.0,6.0,2.0,4.4,108.2,3.1,95.6
12m,Meesho,Sasi,Skin Care,1,0.9,1.9,14.3,6.4,3.6,94.1,5.8,88.7
12m,Website,Watsons,Skin Care,1,0.9,1.8,6.2,5.9,3.9,104.8,3.5,91.6
12m,Meesho,Kaowmanee,Skin Care,1,0.8,2.4,15.1,2.8,4.3,97.0,6.2,88.0
12m,JioMart,Sasi,Skin Care,1,0.8,1.8,12.7,5.7,4.0,95.5,5.4,89.2
12m,JioMart,AR,Skin Care,1,0.8,1.5,12.4,4.7,3.7,96.1,5.5,86.6
12m,JioMart,Watsons,Skin Care,1,0.8,1.5,11.8,2.6,3.9,100.6,4.9,93.1
12m,Meesho,NOVOLIFE,Health & Wellness,1,0.7,2.5,16.0,8.4,3.4,93.7,6.7,84.3
12m,JioMart,Snake Brand,Body Care,1,0.7,1.4,11.8,3.6,4.1,98.3,5.2,89.5
12m,Website,Sasi,Skin Care,1,0.7,1.4,6.4,3.9,4.2,105.6,3.5,92.2
12m,Website,NOVOLIFE,Health & Wellness,1,0.6,1.8,7.0,8.5,3.8,102.3,3.9,88.4
12m,Website,Kaowmanee,Skin Care,1,0.6,1.7,7.0,7.0,3.9,103.1,3.8,89.4
12m,Website,Poy Sian,Health & Wellness,1,0.6,1.4,7.3,9.7,3.9,99.7,4.0,87.6
12m,JioMart,Kaowmanee,Skin Care,1,0.5,1.5,12.7,8.0,3.3,93.9,5.5,86.4
12m,JioMart,Poy Sian,Health & Wellness,1,0.5,1.1,11.9,3.9,3.6,98.9,5.2,88.7
12m,JioMart,NOVOLIFE,Health & Wellness,1,0.4,1.4,13.3,2.4,4.1,99.4,5.5,89.9
