public_product_id,marketplace,brand_group,category_group,product_group,listing_price_band,inventory_band,sales_index,units_index,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,margin_risk_score,margin_risk_band,revenue_quality_score,recommended_action,action_priority,action_reason
P0770,Amazon,Sasi,Skin Care,General Product,<500,Medium / 6-15,40.2,84.5,34.2,3.3,3.9,75.9,12.7,Low Risk,64.8,Fee Review,High,High sales-index product with elevated fee percentage.
P0705,Amazon,Protex,Body Care,General Product,<500,Very Low / 1-2,43.5,91.4,34.3,4.9,3.4,75.1,12.6,Low Risk,64.9,Fee Review,High,High sales-index product with elevated fee percentage.
P0225,Amazon,Colgate,Oral Care,Toothpaste,<500,Out of Stock / 0,43.0,85.7,33.8,4.7,4.0,75.2,12.5,Low Risk,65.1,Fee Review,High,High sales-index product with elevated fee percentage.
P0706,Amazon,Protex,Body Care,General Product,<500,Out of Stock / 0,37.9,79.8,34.0,3.4,3.9,76.4,12.5,Low Risk,66.4,Fee Review,High,High sales-index product with elevated fee percentage.
P0024,Amazon,AR,Skin Care,General Product,<500,Out of Stock / 0,44.9,84.5,33.6,6.5,4.2,73.1,12.4,Low Risk,63.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1039,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,44.3,88.4,33.5,4.4,4.1,75.7,12.4,Low Risk,65.4,Fee Review,High,High sales-index product with elevated fee percentage.
P0257,Amazon,Dove,Hair Care,General Product,<500,Low / 3-5,41.7,87.3,33.5,3.4,3.8,76.9,12.4,Low Risk,66.1,Fee Review,High,High sales-index product with elevated fee percentage.
P0259,Amazon,Dove,Hair Care,General Product,<500,Very High / 51+,41.5,83.1,33.6,4.5,4.0,75.9,12.4,Low Risk,65.4,Fee Review,High,High sales-index product with elevated fee percentage.
P0233,Amazon,Counterpain,Health & Wellness,Pain Relief,<500,Out of Stock / 0,38.5,81.2,33.6,4.3,3.7,75.8,12.4,Low Risk,66.1,Fee Review,High,High sales-index product with elevated fee percentage.
P1099,Amazon,Tros,Body Care,Deodorant & Body Spray,<500,Out of Stock / 0,46.7,88.0,33.3,4.0,4.0,75.4,12.3,Low Risk,65.6,Fee Review,High,High sales-index product with elevated fee percentage.
P0278,Amazon,Dove,Hair Care,Shampoo,<500,Out of Stock / 0,43.8,83.1,33.3,8.1,4.5,72.1,12.3,Low Risk,63.5,Fee Review,High,High sales-index product with elevated fee percentage.
P0557,Amazon,Oral-B,Oral Care,Dental Floss,<500,High / 16-50,42.4,84.1,32.8,3.8,4.3,77.1,12.2,Low Risk,67.7,Fee Review,High,High sales-index product with elevated fee percentage.
P0890,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,47.1,89.2,32.5,5.7,3.6,74.5,12.1,Low Risk,65.2,Fee Review,High,High sales-index product with elevated fee percentage.
P0261,Amazon,Dove,Hair Care,General Product,<500,Very High / 51+,46.2,87.6,33.0,5.9,3.9,74.8,12.1,Low Risk,66.0,Fee Review,High,High sales-index product with elevated fee percentage.
P1033,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,44.4,84.1,32.3,4.7,4.1,75.7,12.1,Low Risk,65.7,Fee Review,High,High sales-index product with elevated fee percentage.
P0944,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Out of Stock / 0,44.3,83.7,32.7,5.2,3.8,75.8,12.1,Low Risk,65.2,Fee Review,High,High sales-index product with elevated fee percentage.
P1100,Amazon,Tros,Body Care,Deodorant & Body Spray,<500,Very Low / 1-2,43.2,81.4,32.7,4.9,4.1,76.1,12.1,Low Risk,65.5,Fee Review,High,High sales-index product with elevated fee percentage.
P0555,Amazon,Oral-B,Oral Care,Dental Floss,<500,Medium / 6-15,42.9,81.4,32.6,4.4,3.9,76.2,12.1,Low Risk,66.4,Fee Review,High,High sales-index product with elevated fee percentage.
P0253,Amazon,Dove,Hair Care,General Product,<500,Out of Stock / 0,42.7,80.6,32.7,6.2,3.9,74.6,12.1,Low Risk,65.0,Fee Review,High,High sales-index product with elevated fee percentage.
P0270,Amazon,Dove,Hair Care,Hair Oil & Serum,<500,Very High / 51+,48.1,90.6,32.0,2.6,4.1,77.9,12.0,Low Risk,67.9,Fee Review,High,High sales-index product with elevated fee percentage.
P0840,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Out of Stock / 0,46.1,87.1,32.4,3.9,4.3,76.7,12.0,Low Risk,66.7,Fee Review,High,High sales-index product with elevated fee percentage.
P0758,Amazon,Sasi,Lip,Sunscreen,<500,Very Low / 1-2,46.0,86.9,32.0,3.2,4.3,76.9,12.0,Low Risk,66.5,Fee Review,High,High sales-index product with elevated fee percentage.
P0598,Amazon,Pantene,Hair Care,General Product,<500,Out of Stock / 0,45.6,86.7,32.6,4.2,3.8,76.5,12.0,Low Risk,66.5,Fee Review,High,High sales-index product with elevated fee percentage.
P0531,Amazon,NEXCARE,Skin Care,General Product,<500,Medium / 6-15,44.8,84.9,32.4,2.9,3.9,77.9,12.0,Low Risk,67.8,Fee Review,High,High sales-index product with elevated fee percentage.
P0595,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,44.0,82.7,32.2,4.6,4.2,76.2,12.0,Low Risk,67.1,Fee Review,High,High sales-index product with elevated fee percentage.
P0262,Amazon,Dove,Hair Care,Hair Oil & Serum,<500,Out of Stock / 0,43.4,81.8,32.3,4.9,4.2,76.5,12.0,Low Risk,66.8,Fee Review,High,High sales-index product with elevated fee percentage.
P0308,Amazon,Dove,Hair Care,General Product,<500,Out of Stock / 0,41.9,78.8,32.3,4.7,3.9,76.3,12.0,Low Risk,66.9,Fee Review,High,High sales-index product with elevated fee percentage.
P1248,Amazon,Watsons,Skin Care,Lip Care,<500,Out of Stock / 0,39.8,75.3,32.5,4.4,3.8,76.5,12.0,Low Risk,67.1,Fee Review,High,High sales-index product with elevated fee percentage.
P1190,Amazon,Watsons,Oral Care,Dental Floss,<500,Low / 3-5,49.5,89.4,32.2,3.6,4.2,76.4,11.9,Low Risk,67.1,Fee Review,High,High sales-index product with elevated fee percentage.
P0170,Amazon,Colgate,Oral Care,Toothpaste,<500,Low / 3-5,47.6,90.0,32.3,4.8,4.0,76.4,11.9,Low Risk,67.3,Fee Review,High,High sales-index product with elevated fee percentage.
P0763,Amazon,Sasi,Lip,Lip Care,<500,Medium / 6-15,47.1,89.0,32.3,3.6,4.1,77.5,11.9,Low Risk,67.7,Fee Review,High,High sales-index product with elevated fee percentage.
P1185,Amazon,Watsons,Oral Care,Floss Picks,<500,Low / 3-5,45.8,82.4,32.0,6.7,4.0,74.0,11.9,Low Risk,64.6,Fee Review,High,High sales-index product with elevated fee percentage.
P1254,Amazon,Watsons,Oral Care,Dental Floss,<500,Out of Stock / 0,45.4,85.7,32.4,3.2,4.0,76.7,11.9,Low Risk,66.6,Fee Review,High,High sales-index product with elevated fee percentage.
P0271,Amazon,Dove,Hair Care,General Product,<500,Out of Stock / 0,41.6,79.0,32.2,5.1,3.9,76.5,11.9,Low Risk,66.6,Fee Review,High,High sales-index product with elevated fee percentage.
P1112,Amazon,Vaseline,Body Care,Deodorant & Body Spray,<500,Very Low / 1-2,45.1,85.1,31.9,3.0,3.9,78.1,11.8,Low Risk,68.3,Fee Review,High,High sales-index product with elevated fee percentage.
P1196,Amazon,Watsons,Oral Care,Floss Picks,<500,Very Low / 1-2,53.8,97.1,31.5,4.5,3.9,76.5,11.6,Low Risk,67.0,Fee Review,High,High sales-index product with elevated fee percentage.
P0212,Amazon,Colgate,Oral Care,Toothpaste,500-999,Out of Stock / 0,49.1,85.7,31.5,5.0,3.7,76.9,11.6,Low Risk,67.6,Fee Review,High,High sales-index product with elevated fee percentage.
P0476,Amazon,Listerine,Oral Care,Mouthwash,500-999,Out of Stock / 0,44.2,76.9,30.8,4.2,3.8,78.6,11.4,Low Risk,68.9,Fee Review,High,High sales-index product with elevated fee percentage.
P0931,Amazon,SHIVAMAX,Electronics & Travel Accessories,General Product,<500,Out of Stock / 0,54.9,86.5,30.0,4.9,4.0,77.4,11.1,Low Risk,68.7,Fee Review,High,High sales-index product with elevated fee percentage.
P1176,Amazon,Wangprom,Health & Wellness,General Product,500-999,Out of Stock / 0,62.7,90.8,28.4,4.6,4.3,79.0,10.6,Low Risk,70.3,Fee Review,High,High sales-index product with elevated fee percentage.
P0039,Amazon,Axe,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,60.1,85.1,28.4,6.9,4.2,77.2,10.6,Low Risk,68.7,Fee Review,High,High sales-index product with elevated fee percentage.
P0034,Amazon,Axe,Body Care,Deodorant & Body Spray,500-999,Very Low / 1-2,68.0,91.8,27.6,5.3,4.2,77.6,10.4,Low Risk,69.7,Fee Review,High,High sales-index product with elevated fee percentage.
P0178,Amazon,Colgate,Oral Care,Toothpaste,500-999,Low / 3-5,59.5,84.3,27.9,4.0,3.9,79.7,10.4,Low Risk,70.6,Fee Review,High,High sales-index product with elevated fee percentage.
P1107,Amazon,Vaseline,Body Care,General Product,500-999,Very Low / 1-2,62.5,84.1,27.5,6.3,4.0,78.6,10.3,Low Risk,70.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1114,Amazon,Vaseline,Body Care,Deodorant & Body Spray,500-999,Low / 3-5,59.2,80.2,27.6,4.5,4.1,79.7,10.3,Low Risk,71.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1150,Amazon,Vaseline,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,68.3,92.2,27.3,2.6,3.8,81.4,10.2,Low Risk,72.6,Fee Review,High,High sales-index product with elevated fee percentage.
P0246,Amazon,Dove,Body Care,Deodorant & Body Spray,500-999,Medium / 6-15,71.6,88.8,26.7,5.6,4.4,79.0,10.1,Low Risk,70.8,Fee Review,High,High sales-index product with elevated fee percentage.
P0082,Amazon,Biore,Skin Care,Sunscreen,500-999,Very High / 51+,74.5,93.9,26.6,5.7,4.2,78.9,10.0,Low Risk,70.9,Fee Review,High,High sales-index product with elevated fee percentage.
P0264,Amazon,Dove,Body Care,Deodorant & Body Spray,500-999,High / 16-50,70.5,85.5,26.3,5.0,4.3,79.5,10.0,Low Risk,70.9,Fee Review,High,High sales-index product with elevated fee percentage.
P0528,Amazon,NEXCARE,Skin Care,General Product,500-999,Out of Stock / 0,63.2,79.6,26.8,4.3,3.9,81.1,10.0,Low Risk,72.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1120,Amazon,Vaseline,Skin Care,Body Scrub,500-999,Very Low / 1-2,74.9,88.4,26.0,2.8,4.0,82.3,9.8,Low Risk,74.0,Fee Review,High,High sales-index product with elevated fee percentage.
P0437,Amazon,L'Oreal Paris,Skin Care,Face Cleanser,500-999,Very High / 51+,72.9,85.9,26.0,4.5,4.1,80.5,9.8,Low Risk,71.9,Fee Review,High,High sales-index product with elevated fee percentage.
P0563,Amazon,Oral-B,Oral Care,Toothpaste,500-999,Out of Stock / 0,68.6,80.6,25.8,5.0,4.4,79.5,9.8,Low Risk,71.8,Fee Review,High,High sales-index product with elevated fee percentage.
P0744,Amazon,Rexona,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,67.4,79.4,26.0,5.3,4.1,79.8,9.8,Low Risk,72.0,Fee Review,High,High sales-index product with elevated fee percentage.
P0753,Amazon,Rexona,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,84.9,100.0,25.7,4.7,3.8,81.1,9.7,Low Risk,72.8,Fee Review,High,High sales-index product with elevated fee percentage.
P0534,Amazon,Nexcare,Skin Care,General Product,500-999,Low / 3-5,81.2,95.5,25.7,4.5,4.1,81.1,9.7,Low Risk,73.1,Fee Review,High,High sales-index product with elevated fee percentage.
P0175,Amazon,Colgate,Oral Care,Toothpaste,500-999,Medium / 6-15,75.4,88.6,25.7,3.7,3.9,81.7,9.7,Low Risk,72.7,Fee Review,High,High sales-index product with elevated fee percentage.
P0747,Amazon,Rexona,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,71.5,84.3,25.8,3.5,4.0,81.7,9.7,Low Risk,74.0,Fee Review,High,High sales-index product with elevated fee percentage.
P0218,Amazon,Colgate,Oral Care,Toothpaste,500-999,Out of Stock / 0,70.0,77.6,25.5,5.3,4.3,80.4,9.7,Low Risk,72.2,Fee Review,High,High sales-index product with elevated fee percentage.
P0156,Amazon,Colgate,Oral Care,Toothpaste,500-999,Very High / 51+,74.9,78.8,25.0,5.0,4.3,80.4,9.5,Low Risk,72.6,Fee Review,High,High sales-index product with elevated fee percentage.
P0565,Amazon,Pair,Skin Care,General Product,500-999,Out of Stock / 0,93.3,92.4,24.6,5.5,4.1,81.1,9.4,Low Risk,72.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1069,Amazon,Tiger Balm,Health & Wellness,Pain Relief,500-999,Medium / 6-15,91.4,95.7,24.8,4.7,3.9,81.6,9.4,Low Risk,73.4,Monitor,Low,No action threshold triggered; continue monitoring.
P1237,Amazon,Watsons,Oral Care,Interdental Brush,500-999,Out of Stock / 0,80.1,84.1,25.0,5.5,3.7,81.3,9.4,Low Risk,73.6,Fee Review,High,High sales-index product with elevated fee percentage.
P0566,Amazon,Pantene,Hair Care,Shampoo,500-999,Very Low / 1-2,98.9,98.0,24.7,5.3,4.1,80.6,9.3,Low Risk,73.4,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1067,Amazon,Tiger Balm,Health & Wellness,Pain Relief,500-999,Medium / 6-15,89.5,93.9,24.8,2.5,4.1,82.3,9.3,Low Risk,74.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0604,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,89.2,88.6,24.6,4.1,4.0,82.1,9.3,Low Risk,74.4,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0235,Amazon,Counterpain,Health & Wellness,Pain Relief,500-999,Low / 3-5,81.7,85.7,24.7,3.1,3.8,82.7,9.3,Low Risk,75.1,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0488,Amazon,Listerine,Oral Care,Mouthwash,500-999,Out of Stock / 0,97.7,92.2,24.1,5.6,3.8,81.0,9.2,Low Risk,73.1,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0781,Amazon,Senka,Skin Care,Face Cleanser,500-999,Out of Stock / 0,97.2,91.6,24.1,3.8,4.1,82.6,9.2,Low Risk,74.7,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0797,Amazon,Sensodyne,Oral Care,Toothpaste,500-999,Low / 3-5,94.0,89.0,24.1,5.3,4.3,81.1,9.2,Low Risk,73.7,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1162,Amazon,Vita Keratin,Hair Care,General Product,500-999,Out of Stock / 0,92.6,92.0,24.3,4.5,3.8,82.2,9.2,Low Risk,74.0,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1042,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,91.3,86.3,24.2,5.8,4.2,80.1,9.2,Low Risk,72.7,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0172,Amazon,Colgate,Oral Care,Toothpaste,500-999,Very Low / 1-2,89.4,84.5,24.2,6.3,4.4,79.8,9.2,Low Risk,72.4,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0263,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,500-999,Medium / 6-15,89.0,84.1,24.2,5.7,4.0,80.7,9.2,Low Risk,73.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0922,Amazon,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,87.9,85.1,24.3,5.6,3.8,80.9,9.2,Low Risk,73.1,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1043,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,84.3,83.7,24.5,5.8,3.6,80.9,9.2,Low Risk,73.3,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1157,Amazon,Vaseline,Skin Care,Face Cleanser,500-999,Out of Stock / 0,83.2,82.7,24.3,3.9,3.9,81.8,9.2,Low Risk,73.8,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0343,Amazon,Fino,Hair Care,Hair Oil & Serum,1000-1499,Out of Stock / 0,77.7,78.0,24.2,4.8,4.1,82.1,9.2,Low Risk,74.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0573,Amazon,Pantene,Hair Care,Shampoo,500-999,Very Low / 1-2,100.0,94.3,24.0,4.7,3.9,81.7,9.1,Low Risk,73.8,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0230,Amazon,Counterpain,Health & Wellness,Pain Relief,500-999,Out of Stock / 0,98.3,92.7,24.1,5.4,4.0,80.7,9.1,Low Risk,73.8,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0547,Amazon,Oral-B,Oral Care,Dental Floss,500-999,Low / 3-5,97.8,92.7,24.1,5.0,3.9,82.0,9.1,Low Risk,74.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0906,Amazon,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,97.6,92.2,24.0,4.3,3.9,81.8,9.1,Low Risk,74.0,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0602,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,97.4,91.2,23.7,5.9,3.8,81.5,9.1,Low Risk,73.9,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0610,Amazon,Pantene,Hair Care,Hair Oil & Serum,500-999,Out of Stock / 0,96.9,91.6,24.0,5.2,3.8,81.8,9.1,Low Risk,73.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0795,Amazon,Senka,Skin Care,Face Cleanser,500-999,Out of Stock / 0,95.4,90.0,23.7,3.9,4.3,82.8,9.1,Low Risk,74.9,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0617,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,91.4,85.7,23.9,6.4,4.0,80.9,9.1,Low Risk,73.4,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1121,Amazon,Vaseline,Body Care,Body Wash,500-999,Very Low / 1-2,89.9,84.7,23.8,4.8,4.0,81.2,9.1,Low Risk,73.9,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1048,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,89.1,84.3,23.7,3.6,4.0,82.7,9.1,Low Risk,74.8,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1156,Amazon,Vaseline,Body Care,Body Lotion,500-999,Out of Stock / 0,88.9,84.1,24.0,4.6,3.6,82.5,9.1,Low Risk,74.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0553,Amazon,Oral-B,Oral Care,Toothpaste,500-999,Medium / 6-15,88.7,83.7,24.0,3.2,3.9,83.6,9.1,Low Risk,75.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0252,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,500-999,Low / 3-5,88.7,83.5,23.8,5.6,4.2,81.1,9.1,Low Risk,73.2,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1075,Amazon,Tresemme,Hair Care,Shampoo,500-999,Very Low / 1-2,88.7,83.5,23.8,5.1,4.2,81.2,9.1,Low Risk,73.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0279,Amazon,Dove,Body Care,General Product,500-999,Out of Stock / 0,87.2,82.4,23.9,4.1,4.1,82.2,9.1,Low Risk,74.2,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1105,Amazon,Vaseline,Body Care,Body Wash,500-999,Low / 3-5,87.0,82.0,23.8,5.0,4.4,81.6,9.1,Low Risk,74.2,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0041,Amazon,Axe,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,86.7,81.6,24.1,4.0,4.2,82.0,9.1,Low Risk,74.5,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0594,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,85.9,81.2,23.9,5.5,4.2,80.6,9.1,Low Risk,72.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1044,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,85.0,82.2,24.2,3.8,3.8,82.7,9.1,Low Risk,75.0,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0813,Amazon,Sensodyne,Oral Care,Toothpaste,500-999,Out of Stock / 0,85.0,80.0,23.9,4.6,3.9,82.3,9.1,Low Risk,73.8,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0548,Amazon,Oral-B,Oral Care,Toothpaste,500-999,Medium / 6-15,81.8,81.2,24.1,4.2,4.0,82.0,9.1,Low Risk,74.2,Monitor,Low,No action threshold triggered; continue monitoring.
P1085,Amazon,Tresemme,Hair Care,Hair Conditioner & Treatment,500-999,Medium / 6-15,80.8,80.4,24.0,3.2,4.2,82.9,9.1,Low Risk,75.3,Monitor,Low,No action threshold triggered; continue monitoring.
