public_product_id,marketplace,brand_group,category_group,product_group,inventory_band,units_index,sales_index,margin_risk_band,revenue_quality_band,restock_priority,recommended_action,action_priority,action_reason
P0889,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,Very High / 51+,92.4,29.4,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0488,Amazon,Listerine,Oral Care,Mouthwash,Out of Stock / 0,92.2,97.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0906,Amazon,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,92.2,97.6,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1150,Amazon,Vaseline,Body Care,Deodorant & Body Spray,Out of Stock / 0,92.2,68.3,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1162,Amazon,Vita Keratin,Hair Care,General Product,Out of Stock / 0,92.0,92.6,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0034,Amazon,Axe,Body Care,Deodorant & Body Spray,Very Low / 1-2,91.8,68.0,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0781,Amazon,Senka,Skin Care,Face Cleanser,Out of Stock / 0,91.6,97.2,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0610,Amazon,Pantene,Hair Care,Hair Oil & Serum,Out of Stock / 0,91.6,96.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0705,Amazon,Protex,Body Care,General Product,Very Low / 1-2,91.4,43.5,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0602,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,91.2,97.4,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1176,Amazon,Wangprom,Health & Wellness,General Product,Out of Stock / 0,90.8,62.7,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0270,Amazon,Dove,Hair Care,Hair Oil & Serum,Very High / 51+,90.6,48.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0427,Amazon,Kaowmanee,Skin Care,General Product,Out of Stock / 0,90.4,34.5,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0795,Amazon,Senka,Skin Care,Face Cleanser,Out of Stock / 0,90.0,95.4,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0170,Amazon,Colgate,Oral Care,Toothpaste,Low / 3-5,90.0,47.6,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1164,Amazon,Wangprom,Health & Wellness,Herbal Inhaler,Out of Stock / 0,89.8,38.0,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0581,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Very Low / 1-2,89.6,94.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1190,Amazon,Watsons,Oral Care,Dental Floss,Low / 3-5,89.4,49.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0720,Amazon,Protex,Body Care,General Product,Very Low / 1-2,89.4,37.9,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0022,Amazon,Ambi Pur,Home & Kitchen,Air Freshener,Low / 3-5,89.2,94.6,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0890,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,Medium / 6-15,89.2,47.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0797,Amazon,Sensodyne,Oral Care,Toothpaste,Low / 3-5,89.0,94.0,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0763,Amazon,Sasi,Lip,Lip Care,Medium / 6-15,89.0,47.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1070,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,Medium / 6-15,89.0,33.0,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1218,Amazon,Watsons,Oral Care,Floss Picks,Low / 3-5,89.0,33.0,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0246,Amazon,Dove,Body Care,Deodorant & Body Spray,Medium / 6-15,88.8,71.6,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1041,Amazon,Sunsilk,Hair Care,Shampoo,Out of Stock / 0,88.8,37.7,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0917,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,Low / 3-5,88.8,28.2,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0932,Amazon,SHIVAMAX,Electronics & Travel Accessories,Travel Adapter,Very High / 51+,88.8,28.2,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0604,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,88.6,89.2,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0175,Amazon,Colgate,Oral Care,Toothpaste,Medium / 6-15,88.6,75.4,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0475,Amazon,Listerine,Oral Care,Mouthwash,Low / 3-5,88.6,37.6,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1120,Amazon,Vaseline,Skin Care,Body Scrub,Very Low / 1-2,88.4,74.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1039,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,88.4,44.3,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0868,Amazon,SHIVAMAX,Home & Kitchen,General Product,Medium / 6-15,88.4,39.7,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0915,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,Medium / 6-15,88.2,27.9,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1099,Amazon,Tros,Body Care,Deodorant & Body Spray,Out of Stock / 0,88.0,46.7,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1071,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,High / 16-50,88.0,32.4,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0780,Amazon,Senka,Skin Care,Face Cleanser,Very Low / 1-2,87.6,93.0,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0261,Amazon,Dove,Hair Care,General Product,Very High / 51+,87.6,46.2,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0257,Amazon,Dove,Hair Care,General Product,Low / 3-5,87.3,41.7,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1251,Amazon,Watsons,Oral Care,Floss Picks,Out of Stock / 0,87.3,32.4,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0543,Amazon,Ora2,Oral Care,Toothpaste,Out of Stock / 0,87.1,92.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0605,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,87.1,92.4,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0840,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,Out of Stock / 0,87.1,46.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0758,Amazon,Sasi,Lip,Sunscreen,Very Low / 1-2,86.9,46.0,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1131,Amazon,Vaseline,Skin Care,Sunscreen,Out of Stock / 0,86.7,91.5,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0598,Amazon,Pantene,Hair Care,General Product,Out of Stock / 0,86.7,45.6,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0931,Amazon,SHIVAMAX,Electronics & Travel Accessories,General Product,Out of Stock / 0,86.5,54.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1042,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,86.3,91.3,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0342,Amazon,Fino,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,85.9,91.4,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0437,Amazon,L'Oreal Paris,Skin Care,Face Cleanser,Very High / 51+,85.9,72.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1214,Amazon,Watsons,Oral Care,Floss Picks,Very Low / 1-2,85.9,31.9,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0617,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,85.7,91.4,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0168,Amazon,Colgate,Oral Care,Toothpaste,Low / 3-5,85.7,90.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0235,Amazon,Counterpain,Health & Wellness,Pain Relief,Low / 3-5,85.7,81.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0212,Amazon,Colgate,Oral Care,Toothpaste,Out of Stock / 0,85.7,49.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1254,Amazon,Watsons,Oral Care,Dental Floss,Out of Stock / 0,85.7,45.4,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0225,Amazon,Colgate,Oral Care,Toothpaste,Out of Stock / 0,85.7,43.0,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0264,Amazon,Dove,Body Care,Deodorant & Body Spray,High / 16-50,85.5,70.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1003,Amazon,Snake Brand,Body Care,General Product,Out of Stock / 0,85.3,40.7,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0922,Amazon,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,85.1,87.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0039,Amazon,Axe,Body Care,Deodorant & Body Spray,Out of Stock / 0,85.1,60.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1112,Amazon,Vaseline,Body Care,Deodorant & Body Spray,Very Low / 1-2,85.1,45.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0531,Amazon,NEXCARE,Skin Care,General Product,Medium / 6-15,84.9,44.8,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1121,Amazon,Vaseline,Body Care,Body Wash,Very Low / 1-2,84.7,89.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0042,Amazon,Axe,Body Care,Deodorant & Body Spray,Out of Stock / 0,84.5,89.6,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0783,Amazon,Senka,Skin Care,Face Cleanser,Out of Stock / 0,84.5,89.6,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0172,Amazon,Colgate,Oral Care,Toothpaste,Very Low / 1-2,84.5,89.4,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0024,Amazon,AR,Skin Care,General Product,Out of Stock / 0,84.5,44.9,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0770,Amazon,Sasi,Skin Care,General Product,Medium / 6-15,84.5,40.2,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1048,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,84.3,89.1,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0777,Amazon,Senka,Skin Care,Face Cleanser,Low / 3-5,84.3,89.0,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0747,Amazon,Rexona,Body Care,Deodorant & Body Spray,Out of Stock / 0,84.3,71.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0178,Amazon,Colgate,Oral Care,Toothpaste,Low / 3-5,84.3,59.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1029,Amazon,Sunsilk,Hair Care,Shampoo,High / 16-50,84.3,35.8,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0562,Amazon,Oral-B,Oral Care,Toothpaste,Out of Stock / 0,84.1,89.2,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1156,Amazon,Vaseline,Body Care,Body Lotion,Out of Stock / 0,84.1,88.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1237,Amazon,Watsons,Oral Care,Interdental Brush,Out of Stock / 0,84.1,80.1,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1107,Amazon,Vaseline,Body Care,General Product,Very Low / 1-2,84.1,62.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1033,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,84.1,44.4,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0557,Amazon,Oral-B,Oral Care,Dental Floss,High / 16-50,84.1,42.4,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0590,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,83.9,88.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1043,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,83.7,84.3,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0944,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,Out of Stock / 0,83.7,44.3,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0252,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,Low / 3-5,83.5,88.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1075,Amazon,Tresemme,Hair Care,Shampoo,Very Low / 1-2,83.5,88.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1052,Amazon,Sunsilk,Hair Care,Shampoo,Out of Stock / 0,83.3,35.2,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0278,Amazon,Dove,Hair Care,Shampoo,Out of Stock / 0,83.1,43.8,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0259,Amazon,Dove,Hair Care,General Product,Very High / 51+,83.1,41.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0927,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,Medium / 6-15,83.1,22.0,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1157,Amazon,Vaseline,Skin Care,Face Cleanser,Out of Stock / 0,82.7,83.2,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0595,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,82.7,44.0,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0279,Amazon,Dove,Body Care,General Product,Out of Stock / 0,82.4,87.2,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1185,Amazon,Watsons,Oral Care,Floss Picks,Low / 3-5,82.4,45.8,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1044,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,82.2,85.0,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1105,Amazon,Vaseline,Body Care,Body Wash,Low / 3-5,82.0,87.0,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0262,Amazon,Dove,Hair Care,Hair Oil & Serum,Out of Stock / 0,81.8,43.4,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0536,Amazon,NOVOLIFE,Health & Wellness,Herbal Inhaler,Very Low / 1-2,81.8,26.0,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0041,Amazon,Axe,Body Care,Deodorant & Body Spray,Out of Stock / 0,81.6,86.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0029,Amazon,Axe,Body Care,Deodorant & Body Spray,Very Low / 1-2,81.4,86.5,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1100,Amazon,Tros,Body Care,Deodorant & Body Spray,Very Low / 1-2,81.4,43.2,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0555,Amazon,Oral-B,Oral Care,Dental Floss,Medium / 6-15,81.4,42.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1146,Amazon,Vaseline,Body Care,General Product,Out of Stock / 0,81.2,86.3,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0594,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,81.2,85.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0233,Amazon,Counterpain,Health & Wellness,Pain Relief,Out of Stock / 0,81.2,38.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0679,Amazon,Poy Sian,Health & Wellness,Herbal Inhaler,Medium / 6-15,81.0,34.4,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0554,Amazon,Oral-B,Oral Care,Dental Floss,Low / 3-5,80.8,86.2,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0563,Amazon,Oral-B,Oral Care,Toothpaste,Out of Stock / 0,80.6,68.6,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0253,Amazon,Dove,Hair Care,General Product,Out of Stock / 0,80.6,42.7,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1114,Amazon,Vaseline,Body Care,Deodorant & Body Spray,Low / 3-5,80.2,59.2,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1038,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,80.2,34.2,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0813,Amazon,Sensodyne,Oral Care,Toothpaste,Out of Stock / 0,80.0,85.0,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0260,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,Low / 3-5,80.0,84.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0609,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,80.0,84.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0706,Amazon,Protex,Body Care,General Product,Out of Stock / 0,79.8,37.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0528,Amazon,NEXCARE,Skin Care,General Product,Out of Stock / 0,79.6,63.2,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1026,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,Low / 3-5,79.6,32.9,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0744,Amazon,Rexona,Body Care,Deodorant & Body Spray,Out of Stock / 0,79.4,67.4,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0271,Amazon,Dove,Hair Care,General Product,Out of Stock / 0,79.0,41.6,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0156,Amazon,Colgate,Oral Care,Toothpaste,Very High / 51+,78.8,74.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0308,Amazon,Dove,Hair Care,General Product,Out of Stock / 0,78.8,41.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0343,Amazon,Fino,Hair Care,Hair Oil & Serum,Out of Stock / 0,78.0,77.7,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0218,Amazon,Colgate,Oral Care,Toothpaste,Out of Stock / 0,77.6,70.0,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0476,Amazon,Listerine,Oral Care,Mouthwash,Out of Stock / 0,76.9,44.2,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1248,Amazon,Watsons,Skin Care,Lip Care,Out of Stock / 0,75.3,39.8,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0528,Website,NEXCARE,Skin Care,General Product,Out of Stock / 0,21.0,16.1,Low Risk,Strong,Monitor,Refund Review,High,Meaningful sales-index product with elevated refund percentage.
P0781,JioMart,Senka,Skin Care,Face Cleanser,Out of Stock / 0,16.5,16.9,Low Risk,Strong,Monitor,Refund Review,High,Meaningful sales-index product with elevated refund percentage.
P1069,Amazon,Tiger Balm,Health & Wellness,Pain Relief,Medium / 6-15,95.7,91.4,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1067,Amazon,Tiger Balm,Health & Wellness,Pain Relief,Medium / 6-15,93.9,89.5,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0529,Amazon,NEXCARE,Skin Care,General Product,Medium / 6-15,91.0,96.3,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0586,Amazon,Pantene,Hair Care,General Product,Medium / 6-15,86.5,91.7,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1080,Amazon,Tresemme,Hair Care,Hair Conditioner & Treatment,Medium / 6-15,86.3,91.5,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0263,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,Medium / 6-15,84.1,89.0,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0553,Amazon,Oral-B,Oral Care,Toothpaste,Medium / 6-15,83.7,88.7,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0548,Amazon,Oral-B,Oral Care,Toothpaste,Medium / 6-15,81.2,81.8,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1085,Amazon,Tresemme,Hair Care,Hair Conditioner & Treatment,Medium / 6-15,80.4,80.8,Low Risk,Healthy,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0263,Flipkart,Dove,Hair Care,Hair Conditioner & Treatment,Medium / 6-15,47.1,48.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0889,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,Very High / 51+,47.1,14.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
